date,ticker_raw,in_spx
1995-01-31,A UN,1
1995-01-31,AAPL UW,1
1995-01-31,ABBV UN,1
1995-01-31,ABNB UW,1
1995-01-31,ABT UN,1
1995-01-31,ACGL UW,1
1995-01-31,ACN UN,1
1995-01-31,ADBE UW,1
1995-01-31,ADI UW,1
1995-01-31,ADM UN,1
1995-01-31,ADP UW,1
1995-01-31,ADSK UW,1
1995-01-31,AEE UN,1
1995-01-31,AEP UW,1
1995-01-31,AES UN,1
1995-01-31,AFL UN,1
1995-01-31,AIG UN,1
1995-01-31,AIZ UN,1
1995-01-31,AJG UN,1
1995-01-31,AKAM UW,1
1995-01-31,ALB UN,1
1995-01-31,ALGN UW,1
1995-01-31,ALL UN,1
1995-01-31,ALLE UN,1
1995-01-31,AMAT UW,1
1995-01-31,AMCR UN,1
1995-01-31,AMD UW,1
1995-01-31,AME UN,1
1995-01-31,AMGN UW,1
1995-01-31,AMP UN,1
1995-01-31,AMT UN,1
1995-01-31,AMZN UW,1
1995-01-31,ANET UN,1
1995-01-31,AON UN,1
1995-01-31,AOS UN,1
1995-01-31,APA UW,1
1995-01-31,APD UN,1
1995-01-31,APH UN,1
1995-01-31,APO UN,1
1995-01-31,APP UW,1
1995-01-31,APTV UN,1
1995-01-31,ARE UN,1
1995-01-31,ATO UN,1
1995-01-31,AVB UN,1
1995-01-31,AVGO UW,1
1995-01-31,AVY UN,1
1995-01-31,AWK UN,1
1995-01-31,AXON UW,1
1995-01-31,AXP UN,1
1995-01-31,AZO UN,1
1995-01-31,BA UN,1
1995-01-31,BAC UN,1
1995-01-31,BALL UN,1
1995-01-31,BAX UN,1
1995-01-31,BBY UN,1
1995-01-31,BDX UN,1
1995-01-31,BEN UN,1
1995-01-31,BF/B UN,1
1995-01-31,BG UN,1
1995-01-31,BIIB UW,1
1995-01-31,BK UN,1
1995-01-31,BKNG UW,1
1995-01-31,BKR UW,1
1995-01-31,BLDR UN,1
1995-01-31,BLK UN,1
1995-01-31,BMY UN,1
1995-01-31,BR UN,1
1995-01-31,BRK/B UN,1
1995-01-31,BRO UN,1
1995-01-31,BSX UN,1
1995-01-31,BX UN,1
1995-01-31,BXP UN,1
1995-01-31,C UN,1
1995-01-31,CAG UN,1
1995-01-31,CAH UN,1
1995-01-31,CARR UN,1
1995-01-31,CAT UN,1
1995-01-31,CB UN,1
1995-01-31,CBOE UF,1
1995-01-31,CBRE UN,1
1995-01-31,CCI UN,1
1995-01-31,CCL UN,1
1995-01-31,CDNS UW,1
