date,ticker,px_last,tri_gross,volume
2015-01-02,A US Equity,37.1957,41.7782,1530798.0
2015-01-02,AAPL US Equity,24.2611,29.1932,212818504.0
2015-01-02,ABBV US Equity,42.395,70.738,5087291.0
2015-01-02,ABT US Equity,36.5807,71.7359,3217165.0
2015-01-02,ACGL US Equity,18.5394,19.4967,1101576.0
2015-01-02,ACN US Equity,74.2529,105.9696,2021565.0
2015-01-02,ADBE US Equity,72.34,74.561,2356405.0
2015-01-02,ADI US Equity,44.5112,72.166,1329619.0
2015-01-02,ADM US Equity,37.9809,71.7627,2039815.0
2015-01-02,ADP US Equity,65.9868,118.4359,1872279.0
2015-01-02,ADSK US Equity,59.53,63.9222,901928.0
2015-01-02,AEE US Equity,33.1314,119.5436,2557072.0
2015-01-02,AEP US Equity,41.6976,170.8226,2011402.0
2015-01-02,AES US Equity,9.2424,14.1231,5228725.0
2015-01-02,AFL US Equity,23.675,41.3886,2846174.0
2015-01-02,AIG US Equity,43.3142,61.5553,6613127.0
2015-01-02,AIZ US Equity,54.6923,80.0951,452440.0
2015-01-02,AJG US Equity,38.3919,95.3761,540583.0
2015-01-02,AKAM US Equity,63.25,63.25,851990.0
2015-01-02,ALB US Equity,51.5289,83.6852,741100.0
2015-01-02,ALGN US Equity,56.2,56.2,797073.0
2015-01-02,ALL US Equity,55.4806,112.7342,1766894.0
2015-01-02,ALLE US Equity,48.7062,55.3798,670355.0
2015-01-02,AMAT US Equity,21.8073,30.0516,6910202.0
2015-01-02,AMD US Equity,2.69,2.6907,8330255.0
2015-01-02,AME US Equity,48.9474,59.8438,651703.0
2015-01-02,AMGN US Equity,117.267,170.926,2606798.0
2015-01-02,AMP US Equity,104.987,156.136,622175.0
2015-01-02,AMT US Equity,77.934,104.637,1462901.0
2015-01-02,AMZN US Equity,15.426,15.426,55762020.0
2015-01-02,ANET US Equity,3.9175,3.9175,5927808.0
2015-01-02,AON US Equity,85.1447,141.2999,934006.0
2015-01-02,AOS US Equity,23.6005,41.6544,1540664.0
2015-01-02,APA US Equity,56.6123,74.0057,3364446.0
2015-01-02,APD US Equity,104.2487,207.8804,1347373.0
2015-01-02,APH US Equity,12.1095,13.9108,3152740.0
2015-01-02,APO US Equity,14.0419,35.7731,395707.0
2015-01-02,APTV US Equity,56.8847,62.5637,1262497.0
2015-01-02,ARE US Equity,62.9929,181.4798,277615.0
2015-01-02,ATO US Equity,43.1177,138.095,421890.0
2015-01-02,AVB US Equity,117.373,418.267,565853.0
2015-01-02,AVGO US Equity,7.681,10.729,13500450.0
2015-01-02,AVY US Equity,42.317,87.4301,378744.0
2015-01-02,AWK US Equity,43.6835,66.6546,920588.0
2015-01-02,AXON US Equity,26.51,26.51,2273899.0
2015-01-02,AXP US Equity,79.6677,120.6988,2445836.0
2015-01-02,AZO US Equity,616.79,616.79,224682.0
2015-01-02,BA US Equity,113.657,188.502,4294241.0
2015-01-02,BAC US Equity,14.2775,31.7326,48951133.0
2015-01-02,BALL US Equity,30.6612,43.3612,944272.0
2015-01-02,BAX US Equity,33.1947,59.8638,2160840.0
2015-01-02,BBY US Equity,26.2994,47.0258,3889344.0
2015-01-02,BDX US Equity,115.952,182.932,1412272.0
2015-01-02,BEN US Equity,34.6803,71.9817,1220535.0
2015-01-02,BF/B US Equity,29.3939,57.9251,1505300.0
2015-01-02,BG US Equity,67.0742,109.1408,494147.0
2015-01-02,BIIB US Equity,315.026,315.026,976701.0
2015-01-02,BK US Equity,30.9481,63.5109,3891446.0
2015-01-02,BKNG US Equity,1125.823,1142.06,510013.0
2015-01-02,BKR US Equity,30.0975,72.7712,2788074.0
2015-01-02,BLDR US Equity,6.75,6.75,220233.0
2015-01-02,BLK US Equity,272.538,453.424,367144.0
2015-01-02,BMY US Equity,42.3684,122.7315,4892115.0
2015-01-02,BR US Equity,37.7459,54.5883,637716.0
2015-01-02,BRK/B US Equity,149.17,149.17,3440500.0
2015-01-02,BRO US Equity,14.7055,20.7952,836962.0
2015-01-02,BSX US Equity,13.22,13.22,10521165.0
2015-01-02,BX US Equity,19.7926,50.9671,2585789.0
2015-01-02,BXP US Equity,86.868,322.455,612110.0
2015-01-02,C US Equity,40.6538,76.6606,11139760.0
2015-01-02,CAG US Equity,19.5141,54.7191,3993636.0
2015-01-02,CAH US Equity,59.8557,95.6749,1019523.0
2015-01-02,CAT US Equity,69.5195,148.9895,3772352.0
2015-01-02,CB US Equity,92.971,168.838,855337.0
2015-01-02,CBOE UF Equity,54.7582,70.65,20831.0
2015-01-02,CBRE US Equity,34.67,34.67,1406667.0
2015-01-02,CCI US Equity,51.0185,81.4943,2135754.0
2015-01-02,CCL US Equity,38.916,67.2404,2769732.0
2015-01-02,CDNS US Equity,18.83,18.83,3508565.0
2015-01-02,CDW US Equity,30.8988,35.16,380188.0
2015-01-02,CF US Equity,41.1638,59.448,3692755.0
2015-01-02,CFG US Equity,16.987,24.8649,643550.0
2015-01-02,CHD US Equity,34.2607,50.9341,1077592.0
2015-01-02,CHRW US Equity,57.166,94.2534,2056053.0
2015-01-02,CHTR US Equity,184.063,184.063,644859.0
2015-01-02,CI US Equity,94.4548,125.9241,722711.0
2015-01-02,CINF US Equity,38.0766,98.7725,386653.0
2015-01-02,CL US Equity,53.7547,102.4868,2523558.0
2015-01-02,CLX US Equity,76.896,172.21,859419.0
2015-01-02,CMCSA US Equity,22.4936,32.9776,21170030.0
2015-01-02,CME US Equity,58.088,117.737,1130527.0
2015-01-02,CMG US Equity,13.568,13.568,16250750.0
2015-01-02,CMI US Equity,109.043,223.043,1248551.0
2015-01-02,CMS US Equity,25.4636,66.3112,2405330.0
2015-01-02,CNC US Equity,26.11,26.11,1621364.0
2015-01-02,CNP US Equity,16.2331,64.7977,2278596.0
2015-01-02,COF US Equity,67.8267,96.6144,1485267.0
2015-01-02,COO US Equity,40.065,41.0822,1701132.0
2015-01-02,COP US Equity,48.7385,102.7203,5701787.0
2015-01-02,COR US Equity,77.5627,100.2741,1124780.0
2015-01-02,COST US Equity,114.298,170.891,1471736.0
2015-01-02,CPAY US Equity,150.26,150.26,1057369.0
2015-01-02,CPB US Equity,31.5836,73.1792,1037225.0
2015-01-02,CPRT US Equity,4.5725,4.5725,4999600.0
2015-01-02,CPT US Equity,50.0865,241.6974,573551.0
2015-01-02,CRL US Equity,63.88,63.88,201631.0
2015-01-02,CRM US Equity,58.6233,59.24,2801679.0
2015-01-02,CSCO US Equity,19.9353,30.4436,22926512.0
2015-01-02,CSGP US Equity,18.013,18.013,1783660.0
2015-01-02,CSX US Equity,10.1036,18.0057,14065758.0
2015-01-02,CTAS US Equity,17.569,24.446,1829628.0
2015-01-02,CTRA US Equity,22.0025,33.579,4087500.0
2015-01-02,CTSH US Equity,46.8991,52.67,2371513.0
2015-01-02,CVS US Equity,70.1729,117.801,5124774.0
2015-01-02,CVX US Equity,70.9939,217.9832,5907276.0
2015-01-02,D US Equity,49.0599,198.6092,2211913.0
2015-01-02,DAL US Equity,43.2002,49.834,8637318.0
2015-01-02,DD US Equity,50.3512,134.8831,2030371.0
2015-01-02,DE US Equity,73.1696,133.6491,1874095.0
2015-01-02,DECK US Equity,14.9567,14.9567,4430568.0
2015-01-02,DG US Equity,61.9306,70.78,2718863.0
2015-01-02,DGX US Equity,55.4774,77.2192,2733721.0
2015-01-02,DHI US Equity,22.1832,31.3551,3174270.0
2015-01-02,DHR US Equity,54.6012,59.6849,2063903.0
2015-01-02,DIS US Equity,85.9437,114.9936,5865420.0
2015-01-02,DLR US Equity,44.838,103.3478,659004.0
2015-01-02,DLTR US Equity,70.35,70.35,1435854.0
2015-01-02,DOC US Equity,23.1081,159.5501,2204594.0
2015-01-02,DOV US Equity,47.9144,81.6256,1696819.0
2015-01-02,DPZ US Equity,83.783,183.998,401049.0
2015-01-02,DRI US Equity,38.2525,71.9058,1039359.0
2015-01-02,DTE US Equity,51.7397,207.3683,873488.0
2015-01-02,DUK US Equity,53.8276,210.8091,2269109.0
2015-01-02,DVA US Equity,75.83,75.83,947245.0
2015-01-02,DVN US Equity,41.7774,70.8445,3019780.0
2015-01-02,DXCM US Equity,13.6275,13.6275,1607564.0
2015-01-02,EA US Equity,45.6142,46.87,1959789.0
2015-01-02,EBAY US Equity,21.1287,23.6576,5901204.0
2015-01-02,ECL US Equity,92.6994,134.8325,1191485.0
2015-01-02,ED US Equity,44.7979,194.1771,1691318.0
2015-01-02,EFX US Equity,73.317,98.418,429984.0
2015-01-02,EG US Equity,132.2132,212.8517,274908.0
2015-01-02,EIX US Equity,43.3901,120.9589,1900628.0
2015-01-02,EL US Equity,65.9645,90.7921,926393.0
2015-01-02,ELV US Equity,107.961,134.349,1181918.0
2015-01-02,EME US Equity,41.7578,45.214,271527.0
2015-01-02,EMN US Equity,54.7359,145.7322,1566326.0
2015-01-02,EMR US Equity,46.1401,103.9372,3396049.0
2015-01-02,EOG US Equity,68.125,102.4512,3463489.0
2015-01-02,EPAM US Equity,46.47,46.47,379328.0
2015-01-02,EQIX US Equity,176.102,235.331,383808.0
2015-01-02,EQR US Equity,43.496,207.6274,1408947.0
2015-01-02,EQT US Equity,38.8626,68.2836,2296663.0
2015-01-02,ERIE US Equity,69.9915,151.9748,28219.0
2015-01-02,ES US Equity,37.2887,105.1039,1700154.0
2015-01-02,ESS US Equity,150.73,559.13,258804.0
2015-01-02,ETN US Equity,51.0244,112.7142,1638237.0
2015-01-02,ETR US Equity,28.4974,103.8722,3890614.0
2015-01-02,EVRG US Equity,27.9644,126.6872,1051900.0
2015-01-02,EW US Equity,21.287,21.287,3647340.0
2015-01-02,EXC US Equity,18.2805,60.8587,4975986.0
2015-01-02,EXPD US Equity,38.7804,50.8728,1127256.0
2015-01-02,EXPE US Equity,80.976,90.995,1260485.0
2015-01-02,EXR US Equity,39.8209,95.7871,838242.0
2015-01-02,F US Equity,8.627,43.8843,24777911.0
2015-01-02,FANG US Equity,46.6633,59.93,1023187.0
2015-01-02,FAST US Equity,8.8875,14.5369,5381940.0
2015-01-02,FCX US Equity,20.8069,38.9864,9331216.0
2015-01-02,FDS US Equity,125.9,161.473,186739.0
2015-01-02,FDX US Equity,147.5975,183.424,1249847.0
2015-01-02,FE US Equity,24.9998,85.7741,2355539.0
2015-01-02,FFIV US Equity,130.33,130.33,499664.0
2015-01-02,FI US Equity,35.31,35.31,2047798.0
2015-01-02,FICO US Equity,72.04,75.61,115922.0
2015-01-02,FIS US Equity,52.0279,76.8017,666711.0
2015-01-02,FITB US Equity,14.1304,31.7746,6398967.0
2015-01-02,FRT US Equity,92.771,388.725,250622.0
2015-01-02,FSLR US Equity,44.545,44.545,1873765.0
2015-01-02,FTNT US Equity,6.158,6.158,6309725.0
2015-01-02,GD US Equity,109.415,208.758,1112187.0
2015-01-02,GE US Equity,102.6814,206.999,5115100.0
2015-01-02,GEN US Equity,9.6678,26.7707,2508928.0
2015-01-02,GILD US Equity,66.3746,94.91,12340245.0
2015-01-02,GIS US Equity,36.6778,94.6679,2168616.0
2015-01-02,GL US Equity,49.5463,69.3428,617927.0
2015-01-02,GLW US Equity,17.2692,28.8026,5009277.0
2015-01-02,GM US Equity,26.9528,36.0831,9756706.0
2015-01-02,GNRC US Equity,46.37,67.9635,545179.0
2015-01-02,GOOG US Equity,25.991,26.169,29012691.0
2015-01-02,GOOGL US Equity,26.296,26.478,26557400.0
2015-01-02,GPC US Equity,78.2857,210.3204,582345.0
2015-01-02,GPN US Equity,38.425,41.7932,497654.0
2015-01-02,GRMN US Equity,38.1261,72.4494,785708.0
2015-01-02,GS US Equity,157.149,225.603,1877748.0
2015-01-02,GWW US Equity,213.907,350.178,315016.0
2015-01-02,HAL US Equity,32.1833,52.7293,11563174.0
2015-01-02,HAS US Equity,38.7276,79.8402,842184.0
2015-01-02,HBAN US Equity,6.8714,20.2742,6410317.0
2015-01-02,HCA US Equity,69.0124,92.5277,2038153.0
2015-01-02,HD US Equity,80.419,139.407,4324850.0
2015-01-02,HIG US Equity,33.2675,62.0422,1847053.0
2015-01-02,HII US Equity,91.658,114.164,199086.0
2015-01-02,HLT US Equity,50.3582,53.2211,1225571.0
2015-01-02,HOLX US Equity,26.38,26.38,1461281.0
2015-01-02,HON US Equity,76.3976,146.2554,2128832.0
2015-01-02,HPQ US Equity,12.9314,23.5609,9811875.0
2015-01-02,HRL US Equity,20.1309,37.7562,887072.0
2015-01-02,HSIC US Equity,53.633,53.633,694722.0
2015-01-02,HST US Equity,15.778,42.1157,4139896.0
2015-01-02,HSY US Equity,80.3945,159.1628,786968.0
2015-01-02,HUBB US Equity,85.3542,201.3516,243863.0
2015-01-02,HUM US Equity,132.017,149.423,983205.0
2015-01-02,IBKR US Equity,6.6988,9.3474,2218688.0
2015-01-02,IBM US Equity,98.576,197.5906,5525466.0
2015-01-02,ICE US Equity,37.973,44.223,2868185.0
2015-01-02,IDXX US Equity,73.665,73.665,514640.0
2015-01-02,IEX US Equity,67.7024,108.3889,279184.0
2015-01-02,IFF US Equity,78.651,165.98,291229.0
