ticker,shares,side,reference_price,dollar_amount,current_weight,target_weight,execution_date
CTVA US Equity,39,BUY,56.5324,2204.7636,0.0,0.022293142897641085,2024-12-31
TKO US Equity,10,BUY,140.8673,1408.673,0.0,0.014559497194804547,2024-12-31
WMT US Equity,25,BUY,89.6758,2241.895,0.0,0.022654309721772656,2024-12-31
EME US Equity,3,BUY,453.1737,1359.5211,0.0,0.01696562018671439,2024-12-31
ETR US Equity,37,BUY,74.233,2746.621,0.0,0.027769142591563788,2024-12-31
NVDA US Equity,9,BUY,134.2609,1208.3481,0.0,0.012854833710016158,2024-12-31
NFLX US Equity,2,BUY,891.32,1782.64,0.0,0.018483261315979948,2024-12-31
K US Equity,68,BUY,79.2759,5390.7612,0.0,0.053925203559050935,2024-12-31
WSM US Equity,6,BUY,183.0518,1098.3108,0.0,0.01172184270992361,2024-12-31
DAL US Equity,24,BUY,59.9654,1439.1696000000002,0.0,0.014787769612975647,2024-12-31
MCK US Equity,5,BUY,568.037,2840.1850000000004,0.0,0.031412548992365834,2024-12-31
APP US Equity,1,BUY,323.83,323.83,0.0,0.005053739525972445,2024-12-31
CEG US Equity,6,BUY,222.7195,1336.317,0.0,0.014477657997974585,2024-12-31
DASH US Equity,8,BUY,167.75,1342.0,0.0,0.01453702579843696,2024-12-31
MO US Equity,59,BUY,49.6859,2931.4680999999996,0.0,0.029461462083503965,2024-12-31
HOOD US Equity,15,BUY,37.26,558.9,0.0,0.005875794372357329,2024-12-31
DECK US Equity,8,BUY,203.09,1624.72,0.0,0.017136441678404005,2024-12-31
COST US Equity,3,BUY,912.804,2738.412,0.0,0.03030191281146775,2024-12-31
ANET US Equity,10,BUY,110.53,1105.3,0.0,0.01181309470470768,2024-12-31
WMB US Equity,36,BUY,52.7437,1898.7731999999999,0.0,0.019355113229549633,2024-12-31
PGR US Equity,8,BUY,234.9121,1879.2968,0.0,0.019338152583373593,2024-12-31
RMD US Equity,7,BUY,227.2097,1590.4679,0.0,0.015969228471803078,2024-12-31
ISRG US Equity,4,BUY,521.96,2087.84,0.0,0.02254735798263699,2024-12-31
CMI US Equity,8,BUY,343.237,2745.896,0.0,0.02772550665324637,2024-12-31
GDDY US Equity,8,BUY,197.37,1578.96,0.0,0.015841041022485094,2024-12-31
ORCL US Equity,7,BUY,165.2853,1156.9971,0.0,0.013109233364489934,2024-12-31
AXON US Equity,1,BUY,594.32,594.32,0.0,0.010946743843054475,2024-12-31
HWM US Equity,15,BUY,109.1437,1637.1554999999998,0.0,0.017214456774130204,2024-12-31
DLR US Equity,12,BUY,173.4042,2080.8504000000003,0.0,0.021936027217847334,2024-12-31
WELL US Equity,23,BUY,124.3407,2859.8361,0.0,0.028856979334539262,2024-12-31
IP US Equity,43,BUY,52.3524,2251.1532,0.0,0.02280034271642051,2024-12-31
CBRE US Equity,12,BUY,131.29,1575.48,0.0,0.015999492045613916,2024-12-31
NRG US Equity,18,BUY,89.2363,1606.2534,0.0,0.016600139048785753,2024-12-31
BSX US Equity,31,BUY,89.32,2768.9199999999996,0.0,0.027811691101759833,2024-12-31
KKR US Equity,8,BUY,147.3014,1178.4112,0.0,0.012858492482338838,2024-12-31
PLTR US Equity,9,BUY,75.63,680.67,0.0,0.0072942641168279925,2024-12-31
VST US Equity,6,BUY,137.3107,823.8642,0.0,0.009188914299413143,2024-12-31
RCL US Equity,6,BUY,229.241,1375.4460000000001,0.0,0.014069576829254374,2024-12-31
IBKR US Equity,41,BUY,43.9897,1803.5777,0.0,0.01835715319139281,2024-12-31
SYF US Equity,25,BUY,64.1268,1603.17,0.0,0.01614902318536596,2024-12-31
DVA US Equity,13,BUY,149.55,1944.15,0.0,0.019799974128039473,2024-12-31
TRGP US Equity,8,BUY,175.7925,1406.34,0.0,0.015438992908627323,2024-12-31
TT US Equity,7,BUY,366.6941,2566.8586999999998,0.0,0.026016541204741055,2024-12-31
UAL US Equity,11,BUY,97.1,1068.1,0.0,0.011202892374489456,2024-12-31
COIN US Equity,2,BUY,248.3,496.6,0.0,0.006029779110575396,2024-12-31
IRM US Equity,12,BUY,102.5134,1230.1608,0.0,0.01317115657090665,2024-12-31
TTD US Equity,11,BUY,117.53,1292.83,0.0,0.013802276782362392,2024-12-31
APO US Equity,9,BUY,163.507,1471.563,0.0,0.01504241917156086,2024-12-31
LLY US Equity,2,BUY,767.4095,1534.819,0.0,0.018262450542487124,2024-12-31
GE US Equity,8,BUY,166.2375,1329.9,0.0,0.013898883105761043,2024-12-31
TPR US Equity,30,BUY,64.5165,1935.495,0.0,0.019619272087345985,2024-12-31
PKG US Equity,17,BUY,220.9273,3755.7641,0.0,0.03871406124610203,2024-12-31
FI US Equity,8,BUY,205.42,1643.36,0.0,0.017161181378335465,2024-12-31
