date,nav,cash,positions_value,num_positions
2020-02-03,99991.84000000003,2191.0573000000013,97800.78270000003,53
2020-03-02,96212.94520000003,690.3966999999996,95522.54850000003,55
2020-04-01,74003.62029999998,1210.7444000000005,72792.87589999998,55
2020-05-01,86078.76659999996,60.892699999998285,86017.87389999996,58
2020-06-01,94408.99239999999,1299.3939,93109.5985,58
2020-07-01,96396.74470000001,1342.438000000001,95054.30670000002,58
2020-08-03,103422.06000000003,1274.256300000001,102147.80370000002,57
2020-09-01,107347.02249999995,-540.8137000000002,107887.83619999995,59
2020-10-01,103672.99999999997,1522.9984000000038,102150.00159999997,57
2020-11-02,102296.3445,848.9379000000029,101447.4066,58
2020-12-01,112192.92199999999,1022.0746999999999,111170.8473,57
2021-01-04,113522.93780000001,2555.5868,110967.35100000001,56
2021-02-01,117063.5706,1178.3954000000012,115885.1752,57
2021-03-01,121378.17589999999,-271.97370000000205,121650.14959999999,58
2021-04-01,123453.64079999998,448.4834999999962,123005.15729999998,61
2021-05-03,129368.29570000002,542.0997999999927,128826.19590000002,60
2021-06-01,132149.22050000002,1318.8131999999928,130830.40730000004,61
2021-07-01,131302.02600000004,312.8692999999938,130989.15670000005,61
2021-08-02,132214.82210000002,1315.2924999999952,130899.52960000002,61
2021-09-01,137541.48739999998,368.8276000000019,137172.6598,60
2021-10-01,132210.6774,308.7381000000032,131901.93929999997,60
2021-11-01,140597.8846,-1228.8958999999995,141826.7805,61
2021-12-01,129505.03370000001,45.200100000000475,129459.83360000001,61
2022-01-03,137826.0375,358.722000000002,137467.3155,62
2022-02-01,131396.03239999997,1016.3521000000034,130379.68029999996,61
2022-03-01,128217.4226,2428.3429000000096,125789.0797,62
2022-04-01,136460.35670000003,3580.9513000000134,132879.40540000002,63
2022-05-02,127515.17540000002,1041.6875000000095,126473.48790000001,61
2022-06-01,126826.76679999998,815.315700000006,126011.45109999998,62
2022-07-01,121753.6306,1990.0468000000037,119763.5838,63
2022-08-01,126749.058,1148.479900000004,125600.5781,64
2022-09-01,127589.4953,2341.264500000005,125248.23079999999,64
2022-10-03,121925.94690000001,316.62790000001155,121609.319,64
2022-11-01,131629.50439999998,-483.05199999998604,132112.55639999997,64
2022-12-01,135669.43850000005,-808.8050999999825,136478.24360000002,62
2023-01-03,128694.27940000003,2073.5651000000134,126620.71430000002,62
2023-02-01,132379.93850000005,1355.0979000000123,131024.84060000004,64
2023-03-01,131705.098,1260.0391000000127,130445.05889999999,66
2023-04-03,132930.26940000002,-219.21039999998925,133149.4798,66
2023-05-01,134773.27980000005,1511.584400000013,133261.69540000003,65
2023-06-01,133461.8724,537.5352000000144,132924.33719999998,64
2023-07-03,141181.547,1503.9980000000146,139677.54899999997,65
2023-08-01,143977.55899999998,1010.7606000000146,142966.79839999997,66
2023-09-01,143789.70990000002,-64.07209999998668,143853.782,67
2023-10-02,135928.53099999993,1151.2341000000124,134777.29689999993,67
2023-11-01,133039.7293,-514.4721999999911,133554.2015,65
2023-12-01,144118.46130000005,1367.8518000000095,142750.60950000005,65
2024-01-02,145200.89570000002,1047.318400000005,144153.5773,67
2024-02-01,154590.79359999998,1285.3697000000052,153305.42389999997,65
2024-03-01,170697.5336,-49.39479999999469,170746.9284,68
2024-04-01,177300.08230000004,1705.6380000000117,175594.44430000003,68
2024-05-01,169731.77920000005,-137.69579999997404,169869.47500000003,68
2024-06-03,175602.6747,-920.4585999999758,176523.1333,69
2024-07-01,177343.2189000001,278.89760000001843,177064.32130000007,72
2024-08-01,178518.38319999998,-946.3060999999793,179464.68929999997,72
2024-09-03,184643.9321,-777.0541999999718,185420.9863,71
2024-10-01,194555.03680000006,2489.950700000033,192065.08610000001,71
2024-11-01,193704.60750000004,4440.418400000039,189264.18910000002,69
2024-12-02,217384.09960000005,43.868800000035435,217340.23080000002,70
2025-01-02,207393.17240000004,1708.0219000000343,205685.15050000002,70
