,SHW US Equity,PGR US Equity,EL US Equity,AME US Equity,CBOE UF Equity,CNP US Equity,VLO US Equity,CBRE US Equity,LHX US Equity,MAR US Equity,ALB US Equity,ANET US Equity,MPC US Equity,AMAT US Equity,CI US Equity,APO US Equity,BAC US Equity,BA US Equity,C US Equity,DG US Equity,LRCX US Equity,AMP US Equity,STZ US Equity,ISRG US Equity,NVDA US Equity,CAT US Equity,PM US Equity,NRG US Equity,TTWO US Equity,CSX US Equity,ZBRA US Equity,RCL US Equity,XYZ US Equity,BLDR US Equity,CF US Equity,CSGP US Equity,WYNN US Equity,VRTX US Equity,URI US Equity,TPL US Equity,ABBV US Equity,DLR US Equity,PYPL US Equity,ELV US Equity,ROK US Equity,TTD US Equity,TSLA US Equity,NVR US Equity,MU US Equity,VST US Equity,ALGN US Equity,AMD US Equity,TSN US Equity,PHM US Equity,IBKR US Equity,LW US Equity,DHI US Equity,NEE US Equity,AVY US Equity,MTD US Equity,AMT US Equity,GPN US Equity,TER US Equity,MSCI US Equity,APTV US Equity,ON US Equity,FSLR US Equity,SBAC US Equity,PAYC US Equity,CRL US Equity,PODD US Equity,CPRT US Equity,WMT US Equity,MCO US Equity,IEX US Equity,SPGI US Equity,XEL US Equity,CDNS US Equity,CTRA US Equity,ADBE US Equity,CNC US Equity,EPAM US Equity,ODFL US Equity,DE US Equity,BF/B US Equity,TKO US Equity,AWK US Equity,TROW US Equity,BBY US Equity,XYL US Equity,MNST US Equity,MA US Equity,MOH US Equity,BLK US Equity,LIN US Equity,DECK US Equity,AMZN US Equity,NOW US Equity,NFLX US Equity,FCX US Equity,BR US Equity,AXON US Equity,TGT US Equity,GDDY US Equity,LULU US Equity,ZTS US Equity,RMD US Equity,CME US Equity,EMN US Equity,PANW US Equity,FE US Equity,EXR US Equity,UNH US Equity,NTAP US Equity,CPAY US Equity,PSX US Equity,GWW US Equity,STLD US Equity,SCHW US Equity,LYB US Equity,RL US Equity,PEG US Equity,INTC US Equity,IR US Equity,ROST US Equity,COP US Equity,AES US Equity,GNRC US Equity,PTC US Equity,FTNT US Equity,STX US Equity,KDP US Equity,DXCM US Equity,CTAS US Equity,IDXX US Equity,WAB US Equity,COST US Equity,HCA US Equity,POOL US Equity,ORLY US Equity,KKR US Equity,HST US Equity,MOS US Equity,JKHY US Equity,VRSK US Equity,V US Equity,NKE US Equity,KR US Equity,VICI US Equity,TJX US Equity,SPG US Equity,UNP US Equity,FFIV US Equity,UAL US Equity,EW US Equity,O US Equity,MKC US Equity,MRK US Equity,ECL US Equity,ROL US Equity,CMG US Equity,OKE US Equity,FI US Equity,ADP US Equity,DPZ US Equity,BSX US Equity,AON US Equity,AJG US Equity,BALL US Equity,CHD US Equity,MSI US Equity,WELL US Equity,KEYS US Equity,FDS US Equity,DOC US Equity,TDG US Equity,WDAY US Equity,VTR US Equity,RSG US Equity,ERIE US Equity,EXC US Equity,HRL US Equity,LLY US Equity,VRSN US Equity,CRM US Equity,ULTA US Equity,NSC US Equity,FICO US Equity,TSCO US Equity,PG US Equity,AEE US Equity,KMI US Equity,PAYX US Equity,APD US Equity,GRMN US Equity,AZO US Equity,CLX US Equity,DAY US Equity,LII US Equity,IQV US Equity,CINF US Equity,HSY US Equity,TT US Equity,AEP US Equity,SBUX US Equity,LYV US Equity,FAST US Equity,TECH US Equity,BX US Equity,QCOM US Equity,DHR US Equity,WM US Equity,CMCSA US Equity,WEC US Equity,ES US Equity,ETR US Equity,ALLE US Equity,YUM US Equity,SO US Equity,WRB US Equity,CVX US Equity,STE US Equity,ABT US Equity,WTW US Equity,AVGO US Equity,CDW US Equity,ACGL US Equity,SYK US Equity,KLAC US Equity,NEM US Equity,SNPS US Equity,VMC US Equity,EQIX US Equity,MLM US Equity,WST US Equity,MAS US Equity,NOC US Equity,CHTR US Equity,KMX US Equity,KIM US Equity,PLD US Equity,SRE US Equity,SYF US Equity,HWM US Equity,INVH US Equity,INCY US Equity,LDOS US Equity,EIX US Equity,CAG US Equity,HLT US Equity,BRO US Equity,AAPL US Equity,DVA US Equity,GEN US Equity,CPB US Equity,TYL US Equity,BIIB US Equity,TMUS US Equity,MAA US Equity,AIZ US Equity,MRNA US Equity,TRGP US Equity,REGN US Equity,LMT US Equity,MSFT US Equity,J US Equity,TDY US Equity,CCI US Equity,NDAQ US Equity,EA US Equity,NDSN US Equity,JBHT US Equity,PKG US Equity,MPWR US Equity,WSM US Equity,D US Equity,ADSK US Equity,EQT US Equity,KHC US Equity,SWKS US Equity,WMB US Equity,FDX US Equity,META US Equity,CRWD US Equity,DDOG US Equity,PCG US Equity,UPS US Equity,PWR US Equity,MS US Equity,UBER US Equity,WY US Equity,GS US Equity,NWSA US Equity,IVZ US Equity,IRM US Equity,BKR US Equity,RVTY US Equity,DD US Equity,PH US Equity,JCI US Equity,BG US Equity,COF US Equity,SYY US Equity,NWS US Equity,HOLX US Equity,TRMB US Equity,FITB US Equity,CFG US Equity,MGM US Equity,TPR US Equity,DVN US Equity,APA US Equity,HPQ US Equity,ADM US Equity,CARR US Equity,EXPE US Equity,RF US Equity,GM US Equity,HAL US Equity,DTE US Equity,NXPI US Equity,MHK US Equity,FANG US Equity,WAT US Equity,IT US Equity,TAP US Equity,UHS US Equity,NUE US Equity,F US Equity,TXT US Equity,GE US Equity,DUK US Equity,GOOG US Equity,IPG US Equity,WFC US Equity,GOOGL US Equity,AIG US Equity,PLTR US Equity,HIG US Equity,REG US Equity,CCL US Equity,EME US Equity,EFX US Equity,OXY US Equity,INTU US Equity,CPT US Equity,AOS US Equity,LKQ US Equity,RJF US Equity,PFE US Equity,DOV US Equity,MMC US Equity,DLTR US Equity,NI US Equity,MCK US Equity,LOW US Equity,PSA US Equity,CVS US Equity,HD US Equity,DELL US Equity,EOG US Equity,BK US Equity,CB US Equity,RTX US Equity,GD US Equity,BRK/B US Equity,COR US Equity,ED US Equity,TRV US Equity,T US Equity,MTB US Equity,CHRW US Equity,SMCI US Equity,GIS US Equity,GPC US Equity,CTVA US Equity,IBM US Equity,EG US Equity,HII US Equity,PFG US Equity,CAH US Equity,BMY US Equity,GL US Equity,OMC US Equity,HUBB US Equity,LVS US Equity,MCD US Equity,JBL US Equity,MET US Equity,HPE US Equity,HUM US Equity,CEG US Equity,ORCL US Equity,PCAR US Equity,AFL US Equity,GILD US Equity,PNW US Equity,XOM US Equity,SJM US Equity,SLB US Equity,COIN US Equity,JPM US Equity,MDLZ US Equity,NCLH US Equity,ETN US Equity,HOOD US Equity,BKNG US Equity,APP US Equity,PNR US Equity,DASH US Equity,CL US Equity,ALL US Equity,KEY US Equity,WDC US Equity,BXP US Equity,AMGN US Equity,IP US Equity,MO US Equity,MMM US Equity,IFF US Equity,K US Equity,AXP US Equity,CMI US Equity,DAL US Equity,FOX US Equity,FOXA US Equity,GLW US Equity,DGX US Equity,GEV US Equity,ATO US Equity,SOLV US Equity,NTRS US Equity,EXE US Equity,WBD US Equity
2017-10-31,0.0351707935742363,0.03449801597688622,0.032798869202375666,0.03260274557274581,0.03149660611090248,0.031283280560560865,0.031088471076777913,0.03102097557050859,0.029563620282551478,0.027785694200787237,0.027463714379417182,0.022944273588882687,0.022677306006873954,0.021963818153039504,0.02190187048536652,0.021116606929818475,0.0208645455176877,0.02070838212053249,0.020620783224459135,0.020394491822047583,0.020252780018586013,0.01970572450949742,0.018808262141463965,0.01873801254938189,0.018177369525901925,0.018025335105961614,0.01793686051248626,0.01754939524746919,0.017284317769464267,0.016876709289967807,0.016753458887361045,0.01626795827999386,0.014726913691323664,0.014496541531380398,0.014305550655480689,0.014205236874429343,0.014181162472076538,0.01409306335683554,0.014091628727675273,0.014039436988468044,0.013892106006201057,0.013298300641834114,0.013098664841909035,0.013088838969038261,0.012989462340509267,0.012720244275970889,0.010964188856646758,0.010750801136299648,0.009870071421404647,0.008638132374974317,0.006201098316889465,0.006007508326659839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-30,0.02652656163189754,0.04337336597317196,0.031211996264930198,0.02777161001893133,0.023213868582516818,,0.024936337167315036,,,,0.012955994120483084,0.007068150395048622,0.023244430612957615,,,0.014358401831166566,,0.029917757605573827,,,0.010393481666613079,,0.02769520129311869,0.0282562333850687,0.01109711795384988,0.023791243996779354,,0.0123170031178954,0.009043806213686353,0.01392476108502152,,,0.005250320505540663,0.01170739060991267,,0.02929387532440139,,0.01784072725941354,0.018789401296946985,0.029892741564072532,,,0.01130980681901816,,0.013887519832148875,0.00668264696085343,0.011071284403425703,0.023890215250511306,0.009316559877025836,0.017912617876757436,0.01675470675084583,,0.03553355749201211,0.03421150187056118,0.02900750384157844,0.028468593898426504,0.028335045884305576,0.02616966441528169,0.02405686503308729,0.020035021312539737,0.016208708020983103,0.016059609639064564,0.015981946288913796,0.014927255541925857,0.01478016171932685,0.014760848201669776,0.014580608582785815,0.014325938071717116,0.01355381444561493,0.008771003732787521,0.005535214760518149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-29,0.0206539401303078,,0.026588193368459745,0.03973008364837096,0.034098622253773254,,0.018780398183374944,,,0.022825230736832982,0.018507024989731065,0.008449062010424079,,,,0.014578001425337017,,0.019458459800728464,,,0.012450275422275461,,0.03216514378161251,0.010607529790212445,0.010814002072538166,0.018980824148567797,,0.012742559465056933,0.010029240120011556,0.01041412372751469,,,0.009687227644180247,0.015018938529665623,,0.02003515971850521,0.020744155824791017,0.01346092953040528,,0.01601854522801681,,,0.01311436138775026,0.019899211730949714,,0.00686612900191355,,0.021624080062779487,0.008507210850795062,,0.006608666148984894,,,0.017645236775509617,0.018647651976907882,0.021352181919248685,0.025277086904620535,0.02696582119006497,0.02132106955591117,,0.01935657071898472,,,0.03105864571433848,,,0.006853699984261313,0.015739538126062165,0.012984123514497486,,0.01758373469506816,0.03723297574803952,0.037068268302945066,0.03555895778581897,0.034091068405507664,0.025240376231869175,0.025030318276372247,0.020771426635573645,0.014455350582590211,0.011495321767983442,0.010813244453957923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-31,0.02704214337510801,,0.02518278538467692,,0.028628820033035934,,0.02243025093081729,0.026698021978121787,,0.027589213381418357,0.011210666085597407,0.013325869031516871,0.02235314442734618,,,0.01970692624152207,,0.013279478032343745,,,0.010453762994394131,0.015176382985499101,0.025933144810904283,0.013488780481100807,0.014817076909748402,0.022953467873225403,,0.020001031552558605,0.014025385666126815,,,,0.009121851462302493,0.01490310588381333,,0.01986537091335784,0.006702519454137088,0.024478476056091283,,0.009021414591723313,0.007807011859398808,,0.022693805184090664,,,,,0.012815781220115825,0.010514094557042487,,0.013339940280851914,,,,0.02152801320794574,0.027347633918300054,0.01382936728067451,0.022227210421889246,0.020632125101397232,,,,,0.028455199189263394,,,0.01030769315175266,0.020743565786866307,0.01635078944994649,,0.008163110936733674,0.027708595167651298,,,0.028318642514363696,,,0.020221176189327398,,,0.020782267913166994,0.030235905081598163,0.029841476149776055,0.026685625609904267,0.025115619261290547,0.022750361501881967,0.020610871051396414,0.01728015263219446,0.015304874844692305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-29,0.020623785026951762,,0.023113485791897228,,,,0.02058906610237787,,0.017380004384585725,,,,,,,0.015657691104506113,,,,0.033296965549430166,0.014608306294793838,,,,,,,,,,,,,0.010775606164688567,,0.018412529477612443,,,,,,,,,,0.008240993550704213,,,,,,0.012117252344792278,0.011294547617628173,0.014787216094558584,,,,,,,,0.02259437737874573,0.015227363498500264,0.014570967787200788,,,,0.015791533643951777,0.011495202354230613,,0.009064541201591444,0.017872234564667563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00719351698699079,,0.016849910779591235,0.018200767115226217,0.0218381771738278,,,,,,,,0.023409457862351688,0.02602504659089769,,,,,,,,,,,,0.012559225415191428,,,,,,0.02104964942024547,0.013547507034182575,,,,,,,,,,,,,,,,,,,,0.0228344082810537,,,,,,0.01627416878938814,,,,,,,,0.013507476445903503,,,,0.017128991684717477,,,0.023523597831037794,,,,0.014903764536060024,,,,,,,,0.009638188458083926,,,,0.023183875365203416,,0.01995097784553349,0.028720790125299253,,,,,,0.029275589331166047,,,,,,,,0.021833341705406465,,,,,0.025513242520535107,,0.024642864397612416,,,0.02568201886117339,,,,,,,,0.020027493389550254,,0.01148949238936331,,0.020619833077378077,,0.015426756319859743,,0.023881212290967718,0.029087182146611903,,0.027226064351433,0.025299533146452356,0.022142208398289443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,0.02435118497227016,,0.021611942677685993,,,,,,,,,,,0.012339983899857026,,0.011643709876589676,,,,,0.012584489467639095,0.021264961333727878,,,,,,,,,,,,0.015890706445514335,,0.01392269726468265,,,,,,,,,,0.00691879393887431,,,,,,0.00743434932775238,0.01892217454844782,,,,0.01240471642950314,,,,,0.023146649113400926,0.01581073112009325,0.019420813504604752,,,,,0.014811398345026207,,0.012844822697573139,0.02361928916534982,,0.033074329539020106,,,,,,,,0.017883083684273254,,,,,,,0.01715194791941813,,,,,,,,,,,,,,0.025496222512890476,,0.012704649520833076,,,,,,,,,,0.014859320946225562,0.021205979187881634,,,,,,,,,,,,0.014943937953421582,,,,,0.008942663162017698,,,,0.024228856505179207,,,,,,,,,,,,,,,,,,0.016274825632589196,,,,,,0.023043302696535227,0.028800777127432467,,,,,,,,,,,,,,0.01864417220729098,,,,,,,,,,,,0.019925693436572616,,,,0.022179733847499314,,0.025977940090735962,0.03389517239273907,,,0.020792294894148057,,,,,,,,,,0.013711668684227794,0.020189281869591104,,,,,,,0.026614429670597267,,,0.016287676986111766,,,,,,,,,,0.012906061232203355,,,,0.0169124055455376,0.022660709947041363,0.025821639749313126,,,0.018723105009892462,,,0.02693377378088996,0.02381994420122237,0.021415502733287555,0.01796303370022282,0.017773927221928474,0.01556822009629993,0.013730302186336836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,0.02346244329434143,,,,,,0.01423340080671079,,,,,,,,,0.0243310681110095,,,,,0.013440911090782423,,,,0.010027143052094413,,,,0.012086267678399683,,,,,0.01185226411880416,,0.014056502363233095,,,,,,,,,,,0.005046182706284535,,,,,0.01075145671442458,,0.02357592258666046,,,0.02175000378345666,0.027724928120484944,,,,0.02323625500413719,0.015671555020929585,0.01966007030043203,,,,0.016169975963075484,0.012177877081339251,,0.014411616741262923,0.019117165157968883,,0.019096128146260917,,0.02079322715151913,,,,,,,,,0.025637805978684727,,,,,,,0.01749909451393377,,,,,,,,,,0.01684896538909556,0.02274940884969424,,0.01699283635286287,0.0266137999221953,0.0235024992831055,,,,,,,,,,,,,,,,,,,,,0.012865703032773611,,,,,0.0114412098938767,,,,0.023723931487359576,,,,,,,,,,,,,,,,,,,,,,,,,0.020876922420605584,,,,,,,,,,,,,,0.022143407456561768,,,,,,,,,,,,0.017536254585965548,,,,0.024544755014278642,,,,,,,,,,,,,,,,,0.018511076324068357,0.01602892354637623,,,,,,0.02980934835634339,,,0.025832806772015663,,,,,,,,,,,0.017118182164560843,,,0.020773191065994345,0.02123583450566292,0.018150702060129503,,,0.023544391823024712,0.02160500163294363,,0.019846221015775503,,,0.019801643523847216,,,0.013083584805585514,,0.018966619055666885,,0.02527176607349681,0.016425517525985155,0.018346230573917804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,0.01856845573519821,,,,,,,,,,,,,0.01409904451132484,,0.012110584742064076,,,,0.02697932320476102,0.013726810902725657,,,,0.015686940765130032,,,,,,,,,0.01173804853083273,,0.025515995738963244,,,,,,,,,,0.01445631296087565,0.014308396063796058,0.013241902082587556,,,,0.01774181322662101,,0.013421702277732874,,,,0.018940697051956883,,,,0.014789366096904349,,0.016271210670533675,,,,0.020923647115243138,0.014866868376611173,,0.022797767937884364,0.01902123112496959,,0.015062264318237036,,0.016506122461768847,,,,,,,,,,,,,,,,,,,,,,,,,,0.016329790523517483,0.023974069057488136,,0.01706504584400708,,0.015246401099755556,,,,,,,,,,,,,,,,,,,,,0.019438439327489215,,,,,0.020509678186775314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008462715685143191,,,0.02450572616572054,,,,0.02070300585042582,,,,,,,,,,,,,,,,,,,,,,,0.013521179418728572,,,,,,0.01833627855791364,,,,0.019265255496630076,,,,,,,0.015004478749584826,,,,,,0.01688783538335522,0.01738308552100098,,,,,,,,,,,,,,0.02146026925994247,,,0.02064003705298709,,,,,0.02300828084478822,,,,,,0.013351387322371825,,,0.02000978417608495,,,,0.022015585126071862,0.020718000138646126,0.025201326120710382,0.04160636454071474,0.0271903432545594,0.02673723848986101,0.023117928315826344,0.021418245340095603,0.017552020138509594,0.01691749064265051,0.014882023210798798,0.006766185261123557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,0.015993997926753243,,,,,,,,,,,,,,,,,,,0.02917884913865514,,,,,0.01391666579460054,,,,0.0301277837017388,,,,,,,,,0.017193026239119877,,,,0.021460250609867764,,,,,0.010204830978009368,,,,,0.01322294576515863,,,,,,0.018317460287494754,,,,,,0.013503169470158252,,,,0.014909083438075066,,,0.0188550778528332,0.013835812675466333,,0.014942932591230055,,0.01731197305733549,,,0.018017282044705527,,,,0.01271940348678583,,,,0.01600698757925542,,,,,,,,,,0.02209984635476906,,,,,0.013336532627583081,0.019728757393234094,,0.015770550595597267,,0.021786835072902435,,,,,,,,,,,,,,,,,,,,,0.013923792443608451,,,,,0.01275738321533232,,,,,,0.013199106798932304,,,,,0.01869233432038064,,,,,,,,,,,,,,,,,,,0.014646570684249991,,0.026185428571755626,,,,0.02070905346491015,,,,,,,,,,,,,0.03288992167675781,,,,,,,,,,0.017564919352421608,,,,,,,,,,,,,,,,,0.012908902252128212,,,,,0.015115296536273252,,,,,,,0.013195131092704832,,,,,,,,,0.014659313933559627,,,0.01793795799145521,,,,0.02296253875537959,0.0286881323987456,,,,,,,,,0.016953091877932987,,,,0.016899840592950008,0.020226045671019603,,0.02518887149506244,0.02695750917924724,0.018933851301616223,0.016844973910339435,0.025313608137065277,,0.017808681415628663,,,0.02129287191186112,0.020519497253495625,0.020320846718431495,0.019569521169315932,0.017840406173347048,0.016854545022762495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-29,0.028079098999812206,,,,,,0.009854781973591404,,,,,,,,,0.015794610476197905,,,,0.026684864252455164,0.01090583589456869,,,,0.01647593737581346,,,,,,,,,0.007123533558656584,,0.01679396164741129,,,,,,0.017191479183537563,,,0.018587685958968602,0.014853990321267593,0.0126784377982701,,,,,0.014991924546566159,,,,,,0.02255095233032308,,,,,,0.017997578539881647,,,,0.02516480590188661,0.01106222651933284,,0.011958794925581202,,,0.025156122536720366,,0.02930745307972406,0.024582390000225753,,,,,,0.023500397917685954,,,,,,,,,,,0.014983490207762181,,,0.02147013067404075,,,,,,0.02319866074080087,,0.01631782174266278,,,,,,,,,,,0.00984985758448875,,,,,,,,,,,,0.013270475665544477,,,,,0.012222501287043214,,,,,,,,,,,0.01693156705447599,,,,0.020139359669450758,,,,,,,,,,,,,,,,,0.0191569988617889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019653450626877893,,,,,0.02346387405465043,,,,,,,0.016447314487252115,,,,,,,,0.01247248208897595,0.015946230533635627,,,0.024944139428300243,,0.018713639546525336,,,0.02883250132742359,,,,,,,,,0.025994564150630943,,,,,0.036817265959041286,0.020061043150767784,0.014289617510812445,0.02153524485338896,,,,,,0.004988218115531746,,0.01393297355133383,,,,,,0.02696858849232324,0.02508494752041314,0.02064508583016214,0.01977787103058802,0.015113236527217223,0.014441520391623518,0.01103846359598751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
