,AES US Equity,NTRS US Equity,PSA US Equity,EFX US Equity,NOC US Equity,BA US Equity,HST US Equity,NKE US Equity,ATO US Equity,MOS US Equity,ALL US Equity,PNW US Equity,DVN US Equity,WMB US Equity,KR US Equity,MO US Equity,KMB US Equity,NVR US Equity,ROST US Equity,LIN US Equity,PAYX US Equity,TROW US Equity,HOLX US Equity,GILD US Equity,BSX US Equity,FAST US Equity,JKHY US Equity,CDNS US Equity,IT US Equity,EA US Equity,BIIB US Equity,INTU US Equity,ADBE US Equity,OMC US Equity,ETR US Equity,ESS US Equity,NEM US Equity,CSCO US Equity,CPRT US Equity,DE US Equity,WM US Equity,AEP US Equity,C US Equity,JPM US Equity,CB US Equity,PEP US Equity,REGN US Equity,IDXX US Equity,TPL US Equity,AVB US Equity,ALB US Equity,PTC US Equity,RTX US Equity,LUV US Equity,HAL US Equity,TJX US Equity,DLTR US Equity,PPL US Equity,UHS US Equity,CLX US Equity,FITB US Equity,SWK US Equity,USB US Equity,HSY US Equity,INCY US Equity,EME US Equity,JBL US Equity,AVY US Equity,BAC US Equity,COF US Equity,BKR US Equity,VRTX US Equity,TECH US Equity,REG US Equity,FICO US Equity,GE US Equity,EOG US Equity,MNST US Equity,WELL US Equity,FCX US Equity,JCI US Equity,COR US Equity,CPB US Equity,KO US Equity,CMS US Equity,WDC US Equity,HON US Equity,COO US Equity,EG US Equity,SLB US Equity,DVA US Equity,ERIE US Equity,WAT US Equity,EIX US Equity,MSFT US Equity,EXPD US Equity,PGR US Equity,INTC US Equity,CAH US Equity,HSIC US Equity,TGT US Equity,SBUX US Equity,CVS US Equity,OKE US Equity,RMD US Equity,WSM US Equity,IRM US Equity,APD US Equity,MCHP US Equity,STT US Equity,POOL US Equity,TSN US Equity,DIS US Equity,MMM US Equity,CNP US Equity,MHK US Equity,BMY US Equity,AMD US Equity,ECL US Equity,PCAR US Equity,AOS US Equity,LLY US Equity,CAG US Equity,HIG US Equity,BK US Equity,XOM US Equity,COST US Equity,EQR US Equity,SHW US Equity,FDX US Equity,MCK US Equity,ABT US Equity,CMI US Equity,EVRG US Equity,RJF US Equity,PG US Equity,TER US Equity,CMCSA US Equity,IVZ US Equity,VTR US Equity,PH US Equity,WAB US Equity,PCG US Equity,CL US Equity,BEN US Equity,AMAT US Equity,LEN US Equity,MS US Equity,KLAC US Equity,ODFL US Equity,IPG US Equity,MLM US Equity,DHI US Equity,STZ US Equity,SCHW US Equity,TAP US Equity,ED US Equity,TXN US Equity,BALL US Equity,BBY US Equity,RCL US Equity,SWKS US Equity,TYL US Equity,VMC US Equity,PFE US Equity,TRMB US Equity,TFC US Equity,CINF US Equity,STE US Equity,DRI US Equity,BRO US Equity,JBHT US Equity,ES US Equity,SPG US Equity,NTAP US Equity,CTAS US Equity,PEG US Equity,ARE US Equity,APH US Equity,VTRS US Equity,AMZN US Equity,AAPL US Equity,BXP US Equity,BRK/B US Equity,WMT US Equity,ADP US Equity,BDX US Equity,LOW US Equity,EXC US Equity,KIM US Equity,FI US Equity,AMGN US Equity,CVX US Equity,PLD US Equity,GD US Equity,DTE US Equity,F US Equity,AFL US Equity,WY US Equity,J US Equity,HD US Equity,ORCL US Equity,FDS US Equity,SPGI US Equity,PWR US Equity,TTWO US Equity,VRSN US Equity,YUM US Equity,AMT US Equity,DHR US Equity,QCOM US Equity,TT US Equity,EL US Equity,SYK US Equity,DD US Equity,ROK US Equity,CHRW US Equity,CSGP US Equity,APA US Equity,EQT US Equity,CHD US Equity,STLD US Equity,LH US Equity,AXP US Equity,MMC US Equity,LRCX US Equity,CCI US Equity,MGM US Equity,EBAY US Equity,HRL US Equity,D US Equity,DGX US Equity,SYY US Equity,DECK US Equity,ADI US Equity,DOV US Equity,LNT US Equity,OXY US Equity,LHX US Equity,AJG US Equity,GS US Equity,VLO US Equity,NVDA US Equity,SBAC US Equity,DUK US Equity,CTSH US Equity,GLW US Equity,RSG US Equity,BLK US Equity,LMT US Equity,PHM US Equity,TDY US Equity,T US Equity,KMX US Equity,NEE US Equity,CTRA US Equity,WRB US Equity,NI US Equity,ROP US Equity,L US Equity,TRV US Equity,SNPS US Equity,TKO US Equity,PKG US Equity,SJM US Equity,ADM US Equity,DOC US Equity,MET US Equity,CSX US Equity,ROL US Equity,MTB US Equity,CAT US Equity,RL US Equity,GEN US Equity,UDR US Equity,SO US Equity,ORLY US Equity,ADSK US Equity,SRE US Equity,AZO US Equity,MCO US Equity,GL US Equity,NUE US Equity,VZ US Equity,FE US Equity,IFF US Equity,GWW US Equity,MKC US Equity,TSCO US Equity,ACGL US Equity,URI US Equity,PNR US Equity,ISRG US Equity,EW US Equity,BKNG US Equity,GIS US Equity,GPN US Equity,FFIV US Equity,HBAN US Equity,WEC US Equity,COP US Equity,FRT US Equity,HUM US Equity,ZBRA US Equity,UNH US Equity,AME US Equity,LII US Equity,FIS US Equity,WTW US Equity,AXON US Equity,O US Equity,AEE US Equity,ZBH US Equity,BG US Equity,ALGN US Equity,ELV US Equity,WFC US Equity,TPR US Equity,HUBB US Equity,PFG US Equity,K US Equity,CNC US Equity,GRMN US Equity,PRU US Equity,NFLX US Equity,BF/B US Equity,AKAM US Equity,RVTY US Equity,XEL US Equity,A US Equity,ON US Equity,WST US Equity,CME US Equity,EQIX US Equity,TXT US Equity,MSI US Equity,WYNN US Equity,NDSN US Equity,NSC US Equity,CI US Equity,AON US Equity,MOH US Equity,NRG US Equity,AIZ US Equity,EMN US Equity,NDAQ US Equity,CBRE US Equity,DPZ US Equity,GOOGL US Equity,LKQ US Equity,HPQ US Equity,DLR US Equity,CRM US Equity,MPWR US Equity,DXCM US Equity,LVS US Equity,CPT US Equity,MRK US Equity,MDLZ US Equity,STX US Equity,ICE US Equity,MTD US Equity,TMO US Equity,LYV US Equity,AMP US Equity,CF US Equity,UAL US Equity,SNA US Equity,BAX US Equity,TDG US Equity,ACN US Equity,HAS US Equity,EXPE US Equity,MA US Equity,CMG US Equity,FSLR US Equity,CRL US Equity,UNP US Equity,MCD US Equity,IBKR US Equity,PODD US Equity,LDOS US Equity,PNC US Equity,SMCI US Equity,IBM US Equity,TMUS US Equity,BR US Equity,V US Equity,DAL US Equity,AWK US Equity,KDP US Equity,MU US Equity,ULTA US Equity,BLDR US Equity,MSCI US Equity,BX US Equity,IP US Equity,LULU US Equity,MAS US Equity,EXR US Equity,RF US Equity,AIG US Equity,KEY US Equity,ETN US Equity
1996-01-31,0.03440832219154105,0.03440832219154105,0.03440832219154105,0.03440832219154105,0.03440832219154105,0.03440832219154105,0.03440832219154105,0.03440832219154105,0.03440832219154105,0.03440832219154105,0.03440832219154105,0.03440832219154105,0.03440832219154105,0.03440832219154105,0.03440832219154105,0.03440832219154105,0.03440832219154105,0.03440832219154105,0.03440832219154105,0.03440832219154105,0.03411387888785606,0.03129342193090976,0.027057616102083484,0.026433419083143228,0.025559813142772246,0.02384223423732323,0.023462474128707323,0.02327612881376571,0.02187628828023271,0.021443723652400225,0.021073753546222446,0.01795545524590188,0.014445349117860686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-30,0.03194888027399644,,,,,0.03194888027399644,,0.03194888027399644,,,,0.03194888027399644,,0.03194888027399644,0.03194888027399644,,,,0.01925327850128156,0.03194888027399644,0.03194888027399644,,0.01935214043438449,,,,0.030183724237665834,0.03194888027399644,0.03194888027399644,,0.020165987893202356,,,0.03194888027399644,,0.03194888027399644,,0.03138212617227418,,0.03194888027399644,0.03194888027399644,,,0.03194888027399644,0.03194888027399644,,0.029710661074608718,,,0.03194888027399644,0.028066860573428647,0.023163214263243005,0.03194888027399644,,0.03194888027399644,0.03194888027399644,0.03194888027399644,0.03194888027399644,0.03194888027399644,0.03194888027399644,0.03194888027399644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-31,0.026211842014657042,,,0.03382150612115395,,,0.03382150612115395,0.03382150612115395,0.03382150612115395,0.02969989839680285,,,,0.03382150612115395,0.03382150612115395,,,,0.027018382608722476,0.03382150612115395,0.03382150612115395,,0.016603322187876066,,,,0.03382150612115395,0.03382150612115395,0.02481453291577624,,0.0278575894461699,,,0.03382150612115395,,,,0.03382150612115395,,,0.03382150612115395,,,,0.03382150612115395,,0.013315671036292647,,,0.03382150612115395,,,,,0.03382150612115395,0.03382150612115395,0.023180396612059957,0.03382150612115395,,,0.03382150612115395,0.03382150612115395,0.03382150612115395,0.03382150612115395,0.02611582197750283,0.021261681875533678,0.01984772626321947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-28,0.0317468881293875,,,,,,0.0317468881293875,0.0317468881293875,0.0317468881293875,,,,,,0.0317468881293875,,,,0.024894018254479632,0.0317468881293875,0.0317468881293875,,0.02263491585142447,,,0.0317468881293875,0.030902800065455864,0.02543093059658359,0.022656815405661803,,0.02981976173596737,,,0.0317468881293875,,,,0.0317468881293875,,,0.0317468881293875,,,,0.0317468881293875,0.0317468881293875,,,,0.0317468881293875,,0.0317468881293875,,,0.0317468881293875,0.0317468881293875,0.029248460231348167,0.0317468881293875,,,,0.0317468881293875,,,,0.0317468881293875,,0.0317468881293875,0.0317468881293875,0.0317468881293875,0.0317468881293875,0.029482498305717773,0.023004484448061146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-07-31,0.03320685091681714,,,,,,,0.03320685091681714,0.03320685091681714,,0.03320685091681714,,,,,,,,0.03320685091681714,0.03320685091681714,0.03320685091681714,,0.019577993531508395,,,,0.026370850944789855,0.01644936546481247,0.022919459139346655,,0.01800284051010075,,,0.03320685091681714,,,,0.03320685091681714,,,0.03320685091681714,,,,0.03320685091681714,0.03320685091681714,,,,0.03320685091681714,,,,,,0.03308183533558668,0.03320685091681714,0.03320685091681714,,,,0.03320685091681714,,,0.030424755069541752,0.03320685091681714,,0.03320685091681714,0.03320685091681714,,0.03320685091681714,0.02133756971185687,,0.03320685091681714,0.03320685091681714,0.03320685091681714,0.03320685091681714,0.014870908288845176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-08-30,0.0330154266110556,,,,,0.0330154266110556,,0.0330154266110556,,,,,,0.0330154266110556,,,,,0.018751916562649077,0.0330154266110556,0.0330154266110556,,0.02675952679551399,,,,0.03190567971195621,0.018366281559867033,0.0330154266110556,,0.017957967686842848,,,0.0330154266110556,,0.0330154266110556,,0.0330154266110556,,,,0.0330154266110556,,,0.0330154266110556,,,,,,,0.02430969317032177,,,,0.027606308994999097,0.02042421818936908,,,,,,0.0330154266110556,,0.021548168663146437,0.0330154266110556,,,0.0330154266110556,,0.0330154266110556,,,,,0.0330154266110556,,,0.0330154266110556,0.0330154266110556,0.0330154266110556,0.0330154266110556,0.0330154266110556,0.0330154266110556,0.0330154266110556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-09-30,0.029483653734372457,0.03266863992574481,,,,,,0.03266863992574481,0.03266863992574481,0.03266863992574481,,,,,,,,,0.029418263792986586,0.03266863992574481,0.03266863992574481,,0.021045344794618275,,,,0.024100477975571757,0.020004037069768287,0.016699346616348726,,0.016869687030965152,,,0.03266863992574481,,0.03266863992574481,,0.03266863992574481,,0.03266863992574481,0.03266863992574481,0.03266863992574481,,,,,,,,,,,,,0.03266863992574481,0.03266863992574481,0.026338667462793845,,,,0.03266863992574481,,0.03266863992574481,,0.022564831633532623,0.03266863992574481,,,,,0.03266863992574481,,,,,,,0.009428331671166574,0.03266863992574481,,,,,0.03266863992574481,,0.03266863992574481,0.03266863992574481,0.03266863992574481,0.03266863992574481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-10-31,0.032019290655868955,,,0.032019290655868955,,,,0.032019290655868955,0.032019290655868955,,,,,,,,,,0.02976688775104625,0.032019290655868955,0.027759713812563994,,0.01674126269957441,,,,0.022394470435787166,0.02683722902538159,0.02584951443640013,,,,,0.032019290655868955,,0.032019290655868955,,0.029078803022839505,,,0.032019290655868955,,0.032019290655868955,,0.032019290655868955,,,,,0.032019290655868955,,,,,,0.028579964827038225,0.025182202819547646,,,,,,0.032019290655868955,0.032019290655868955,0.020506849837466316,0.032019290655868955,,,,,0.032019290655868955,,,,,,,,,0.032019290655868955,,,0.032019290655868955,,0.032019290655868955,0.02523349779753506,0.032019290655868955,0.032019290655868955,,0.032019290655868955,0.02826504409534082,0.021399455666230784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-11-29,0.03147145244429006,,,,,,,0.025168045236809208,,,,,,,,,,,0.02352542203721397,0.03147145244429006,0.03147145244429006,,,,,,0.02568585696017071,0.02262767136840873,,,,,,0.03147145244429006,,0.03147145244429006,,,,,0.03147145244429006,,,,0.03147145244429006,,0.02598919658856241,,,,,,,,,0.03147145244429006,0.022330843942562115,,,,,,0.03147145244429006,0.03147145244429006,0.026039390339704035,0.03147145244429006,,0.03147145244429006,,,0.03147145244429006,,,,,,,,0.03147145244429006,,0.03147145244429006,,0.03147145244429006,,0.03147145244429006,0.03147145244429006,,0.03147145244429006,,0.03147145244429006,,0.01186367168757106,0.03147145244429006,0.03147145244429006,0.03147145244429006,0.03147145244429006,0.03147145244429006,0.0299835907317462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31,0.03180547602294086,,,0.03180547602294086,,,,,0.03180547602294086,,,,,,,,,,0.03180547602294086,0.03180547602294086,0.03180547602294086,,,,,,0.025093005478282162,,,,,,,0.03180547602294086,,0.03180547602294086,,0.03180547602294086,,,0.03180547602294086,,,0.03180547602294086,,,,,,,,,,,,0.03180547602294086,0.029769101058185865,,,,,,0.03180547602294086,,,,0.013078654682613834,0.03180547602294086,0.03180547602294086,,0.03180547602294086,,,0.03180547602294086,,,,0.007590834615807552,,,0.03180547602294086,,,,,0.027367957341210548,,0.03180547602294086,,0.03180547602294086,,0.012627003830523644,0.03180547602294086,0.03180547602294086,,0.029942957126518326,,0.030764378737743767,0.03180547602294086,0.03180547602294086,0.03180547602294086,0.028629206555592764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
