,TTD US Equity,TTWO US Equity,NVR US Equity,TSLA US Equity,MAR US Equity,WYNN US Equity,RCL US Equity,EL US Equity,STZ US Equity,DG US Equity,PM US Equity,TPL US Equity,VLO US Equity,MPC US Equity,XYZ US Equity,APO US Equity,CBOE UF Equity,AMP US Equity,PGR US Equity,BAC US Equity,PYPL US Equity,C US Equity,ALGN US Equity,VRTX US Equity,ABBV US Equity,ELV US Equity,CI US Equity,ISRG US Equity,BA US Equity,URI US Equity,BLDR US Equity,CSX US Equity,ROK US Equity,CAT US Equity,AME US Equity,LHX US Equity,NVDA US Equity,MU US Equity,ANET US Equity,LRCX US Equity,AMAT US Equity,AMD US Equity,ZBRA US Equity,ALB US Equity,CF US Equity,SHW US Equity,CBRE US Equity,CSGP US Equity,DLR US Equity,NRG US Equity,VST US Equity,CNP US Equity,TSN US Equity,PHM US Equity,IBKR US Equity,LW US Equity,DHI US Equity,NEE US Equity,AVY US Equity,MTD US Equity,AMT US Equity,GPN US Equity,TER US Equity,MSCI US Equity,APTV US Equity,ON US Equity,FSLR US Equity,SBAC US Equity,PAYC US Equity,CRL US Equity,PODD US Equity,CPRT US Equity,WMT US Equity,MCO US Equity,IEX US Equity,SPGI US Equity,XEL US Equity,CDNS US Equity,CTRA US Equity,ADBE US Equity,CNC US Equity,EPAM US Equity,ODFL US Equity,DE US Equity,BF/B US Equity,TKO US Equity,AWK US Equity,TROW US Equity,BBY US Equity,XYL US Equity,MNST US Equity,MA US Equity,MOH US Equity,BLK US Equity,LIN US Equity,DECK US Equity,AMZN US Equity,NOW US Equity,NFLX US Equity,FCX US Equity,BR US Equity,AXON US Equity,TGT US Equity,GDDY US Equity,LULU US Equity,ZTS US Equity,RMD US Equity,CME US Equity,EMN US Equity,PANW US Equity,FE US Equity,EXR US Equity,UNH US Equity,NTAP US Equity,CPAY US Equity,PSX US Equity,GWW US Equity,STLD US Equity,SCHW US Equity,LYB US Equity,RL US Equity,PEG US Equity,INTC US Equity,IR US Equity,ROST US Equity,COP US Equity,AES US Equity,GNRC US Equity,PTC US Equity,FTNT US Equity,STX US Equity,KDP US Equity,DXCM US Equity,CTAS US Equity,IDXX US Equity,WAB US Equity,COST US Equity,HCA US Equity,POOL US Equity,ORLY US Equity,KKR US Equity,HST US Equity,MOS US Equity,JKHY US Equity,VRSK US Equity,V US Equity,NKE US Equity,KR US Equity,VICI US Equity,TJX US Equity,SPG US Equity,UNP US Equity,FFIV US Equity,UAL US Equity,EW US Equity,O US Equity,MKC US Equity,MRK US Equity,ECL US Equity,ROL US Equity,CMG US Equity,OKE US Equity,FI US Equity,ADP US Equity,DPZ US Equity,BSX US Equity,AON US Equity,AJG US Equity,BALL US Equity,CHD US Equity,MSI US Equity,WELL US Equity,KEYS US Equity,FDS US Equity,DOC US Equity,TDG US Equity,WDAY US Equity,VTR US Equity,RSG US Equity,ERIE US Equity,EXC US Equity,HRL US Equity,LLY US Equity,VRSN US Equity,CRM US Equity,ULTA US Equity,NSC US Equity,FICO US Equity,TSCO US Equity,PG US Equity,AEE US Equity,KMI US Equity,PAYX US Equity,APD US Equity,GRMN US Equity,AZO US Equity,CLX US Equity,DAY US Equity,LII US Equity,IQV US Equity,CINF US Equity,HSY US Equity,TT US Equity,AEP US Equity,SBUX US Equity,LYV US Equity,FAST US Equity,TECH US Equity,BX US Equity,QCOM US Equity,DHR US Equity,WM US Equity,CMCSA US Equity,WEC US Equity,ES US Equity,ETR US Equity,ALLE US Equity,YUM US Equity,SO US Equity,WRB US Equity,CVX US Equity,STE US Equity,ABT US Equity,WTW US Equity,AVGO US Equity,CDW US Equity,ACGL US Equity,SYK US Equity,KLAC US Equity,NEM US Equity,SNPS US Equity,VMC US Equity,EQIX US Equity,MLM US Equity,WST US Equity,MAS US Equity,NOC US Equity,CHTR US Equity,KMX US Equity,KIM US Equity,PLD US Equity,SRE US Equity,SYF US Equity,HWM US Equity,INVH US Equity,INCY US Equity,LDOS US Equity,EIX US Equity,CAG US Equity,HLT US Equity,BRO US Equity,AAPL US Equity,DVA US Equity,GEN US Equity,CPB US Equity,TYL US Equity,BIIB US Equity,TMUS US Equity,MAA US Equity,AIZ US Equity,MRNA US Equity,TRGP US Equity,REGN US Equity,LMT US Equity,MSFT US Equity,J US Equity,TDY US Equity,CCI US Equity,NDAQ US Equity,EA US Equity,NDSN US Equity,JBHT US Equity,PKG US Equity,MPWR US Equity,WSM US Equity,D US Equity,ADSK US Equity,EQT US Equity,KHC US Equity,SWKS US Equity,WMB US Equity,FDX US Equity,META US Equity,CRWD US Equity,DDOG US Equity,PCG US Equity,UPS US Equity,PWR US Equity,MS US Equity,UBER US Equity,WY US Equity,GS US Equity,NWSA US Equity,IVZ US Equity,IRM US Equity,BKR US Equity,RVTY US Equity,DD US Equity,PH US Equity,JCI US Equity,BG US Equity,COF US Equity,SYY US Equity,NWS US Equity,HOLX US Equity,TRMB US Equity,FITB US Equity,CFG US Equity,MGM US Equity,TPR US Equity,DVN US Equity,APA US Equity,HPQ US Equity,ADM US Equity,CARR US Equity,EXPE US Equity,RF US Equity,GM US Equity,HAL US Equity,DTE US Equity,NXPI US Equity,MHK US Equity,FANG US Equity,WAT US Equity,IT US Equity,TAP US Equity,UHS US Equity,NUE US Equity,F US Equity,TXT US Equity,GE US Equity,DUK US Equity,GOOG US Equity,IPG US Equity,WFC US Equity,GOOGL US Equity,AIG US Equity,PLTR US Equity,HIG US Equity,REG US Equity,CCL US Equity,EME US Equity,EFX US Equity,OXY US Equity,INTU US Equity,CPT US Equity,AOS US Equity,LKQ US Equity,RJF US Equity,PFE US Equity,DOV US Equity,MMC US Equity,DLTR US Equity,NI US Equity,MCK US Equity,LOW US Equity,PSA US Equity,CVS US Equity,HD US Equity,DELL US Equity,EOG US Equity,BK US Equity,CB US Equity,RTX US Equity,GD US Equity,BRK/B US Equity,COR US Equity,ED US Equity,TRV US Equity,T US Equity,MTB US Equity,CHRW US Equity,SMCI US Equity,GIS US Equity,GPC US Equity,CTVA US Equity,IBM US Equity,EG US Equity,HII US Equity,PFG US Equity,CAH US Equity,BMY US Equity,GL US Equity,OMC US Equity,HUBB US Equity,LVS US Equity,MCD US Equity,JBL US Equity,MET US Equity,HPE US Equity,HUM US Equity,CEG US Equity,ORCL US Equity,PCAR US Equity,AFL US Equity,GILD US Equity,PNW US Equity,XOM US Equity,SJM US Equity,SLB US Equity,COIN US Equity,JPM US Equity,MDLZ US Equity,NCLH US Equity,ETN US Equity,HOOD US Equity,BKNG US Equity,APP US Equity,PNR US Equity,DASH US Equity,CL US Equity,ALL US Equity,KEY US Equity,WDC US Equity,BXP US Equity,AMGN US Equity,IP US Equity,MO US Equity,MMM US Equity,IFF US Equity,K US Equity,AXP US Equity,CMI US Equity,DAL US Equity,FOX US Equity,FOXA US Equity,GLW US Equity,DGX US Equity,GEV US Equity,ATO US Equity,SOLV US Equity,NTRS US Equity,EXE US Equity,WBD US Equity
2017-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-30,0.00668264696085343,0.009043806213686353,0.023890215250511306,0.011071284403425703,,,,0.031211996264930198,0.02769520129311869,,,0.029892741564072532,0.024936337167315036,0.023244430612957615,0.005250320505540663,0.014358401831166566,0.023213868582516818,,0.04337336597317196,,0.01130980681901816,,0.01675470675084583,0.01784072725941354,,,,0.0282562333850687,0.029917757605573827,0.018789401296946985,0.01170739060991267,0.01392476108502152,0.013887519832148875,0.023791243996779354,0.02777161001893133,,0.01109711795384988,0.009316559877025836,0.007068150395048622,0.010393481666613079,,,,0.012955994120483084,,0.02652656163189754,,0.02929387532440139,,0.0123170031178954,0.017912617876757436,,0.03553355749201211,0.03421150187056118,0.02900750384157844,0.028468593898426504,0.028335045884305576,0.02616966441528169,0.02405686503308729,0.020035021312539737,0.016208708020983103,0.016059609639064564,0.015981946288913796,0.014927255541925857,0.01478016171932685,0.014760848201669776,0.014580608582785815,0.014325938071717116,0.01355381444561493,0.008771003732787521,0.005535214760518149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-29,0.00686612900191355,0.010029240120011556,0.021624080062779487,,0.022825230736832982,0.020744155824791017,,0.026588193368459745,0.03216514378161251,,,0.01601854522801681,0.018780398183374944,,0.009687227644180247,0.014578001425337017,0.034098622253773254,,,,0.01311436138775026,,0.006608666148984894,0.01346092953040528,,0.019899211730949714,,0.010607529790212445,0.019458459800728464,,0.015018938529665623,0.01041412372751469,,0.018980824148567797,0.03973008364837096,,0.010814002072538166,0.008507210850795062,0.008449062010424079,0.012450275422275461,,,,0.018507024989731065,,0.0206539401303078,,0.02003515971850521,,0.012742559465056933,,,,0.017645236775509617,0.018647651976907882,0.021352181919248685,0.025277086904620535,0.02696582119006497,0.02132106955591117,,0.01935657071898472,,,0.03105864571433848,,,0.006853699984261313,0.015739538126062165,0.012984123514497486,,0.01758373469506816,0.03723297574803952,0.037068268302945066,0.03555895778581897,0.034091068405507664,0.025240376231869175,0.025030318276372247,0.020771426635573645,0.014455350582590211,0.011495321767983442,0.010813244453957923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-28,0.007361312448377592,,,,,,,,,,,0.0179773730236894,0.0135272254434983,0.012862747560535768,0.006851842623691211,,,,0.028167680992734413,,0.015897773177606947,,0.014301507512109275,,,,,,,,,,,,,,,,,,,0.005012422908308266,,,0.01831653042970792,,0.01829325870671906,0.019307447108457235,,0.018350292890602492,,,,,,0.021018057978150824,,,,,,,,0.01927092544354748,,,,,0.011074822654272563,,0.013890683947080052,0.006823081786839692,,,,,,,,0.014326916960616455,,,,,,0.016148231479250465,,,,,,0.02374896085234126,0.014277345380177421,,,0.017265072563533712,0.015089060749759221,,,,0.0262142135325779,0.008374990058883753,0.038988121412500104,0.017126967418211177,0.0073121465814111304,,,,,,0.020885385935555115,,,0.013555643279451109,0.02913408929581979,,0.026272085395832288,0.019394979501969875,,,,,,,,,0.015349724758091128,,0.013002723569921998,0.01291791374820716,0.01040467849432352,0.016303765307681226,0.016020088934004046,0.01540336557022433,0.018409560868377008,0.0066802196176101135,,0.024908092849777907,,0.02510036517725396,,0.02602278206702896,0.015895988725865968,0.030837186811100245,0.0296722330329791,0.021344113291525836,0.018108656252615866,0.008173345163563458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-31,0.0067192329768570565,,,,,,,,,,,0.009765137046073728,0.008749675094099607,,0.004998909911718841,,,,0.012674911059553009,,,,0.005124425083655987,,,,,,0.011166177597870664,,,0.012005834603780203,,,,,,,,,,0.004442739521546428,,,0.008666469207120553,,0.016058302472147592,0.011259168985868097,,0.02002540731178762,0.01735205029874099,,,,,,,,,,,,,0.01052996628972642,,,,,0.008629929709453586,,0.010928886782918116,,,,,,,,,0.006917559001809995,,,,,,0.008099756448533694,,,,,,0.008806952736154611,0.012594471195343506,,,0.008336194623398544,0.007035029544307423,,,,0.012531168323934985,0.007098495480678634,0.01624446641343877,0.007382916717882701,0.010687454801245102,,,,,,,,,0.00815565750871617,0.009177602706277028,,0.008630130837823055,0.013213064668526307,,,,,,,,0.011230650048301356,0.018428380660483388,,0.008441648004422538,0.009909168094484241,,0.015273858338114572,0.009316465874749668,,,,0.013519293282359245,0.014890885423307005,,0.013595547049421378,0.008041953375308787,,0.01277428770134508,0.015446323040662128,,0.010172611752104325,,0.011294679807396743,0.02131295751884897,0.021240398991113185,0.01562576716365707,0.015066632835432721,0.01105653356374528,0.010599553307430122,0.010439425678885747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-30,0.004329354948759439,,,,,,,,,,,0.005263631168063615,,,0.004612663483695923,,,,0.00758503627274896,,,,,,,,,,0.01028784232982949,,,,,,,,,,,,,0.005223663042403952,0.007538179390256254,,0.006863234977108651,,,0.00911321148020872,,0.010969257825425066,0.009463167687343687,,,,,0.015895229787524973,,,,,,,,,,,,,0.006813176653691514,,,,,,,,,,,0.006868244091278688,,,,,,0.006014561381223264,,,,,,0.008267935851239722,0.006047855009121524,,,0.010922992634110189,,0.005719766395709748,,,0.007538744220987025,0.005499603871485951,0.0077604010723802,0.006304541234472339,0.008167398554398679,,,0.0159705500234977,,,,,,0.00601347871698892,,,0.013324023173661735,,,,,,,,,0.010797341137642451,0.010383396820651026,,,0.005332522354602218,,0.013096268895990342,0.005352636987430075,,0.010589287202817025,,,0.011260062810536485,,,0.009685166911935942,,0.0073847782617196935,0.01351752970763646,,0.011474506156827446,,,0.020877186285094423,0.010000458989532748,0.02091065804613338,,,0.016265289125769175,,0.02617369202940671,0.02027112772145178,0.019969642307375152,0.019051666070406474,0.01574496460169784,0.014078482956496313,0.013728694061549942,0.013527587580842569,0.012933734213802048,0.011270016908564657,0.009446055418338189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,0.004132781239405046,,,,,,,,,,,0.003939691398105356,,,0.0036455930803502693,,,,,,,,,,,,,0.0058283018553371155,,,,0.008255494650585685,,,,,,,,,,0.0032579219332585633,0.005121926147573207,,,,,0.007409090629950006,,0.007190955355340475,0.007613961425755225,,,,,0.011540993937279347,,,,,,,,0.007638008214621923,,,,,0.005890007690821333,,,,,,,,,,,,,,,,,0.00497359006597431,,,,,,0.006260442942027444,0.004896724438912099,,,0.004963241833139354,,,,,,0.005628541026957745,,,0.004040394152376116,,,0.011904799633175592,,,,,,,,,0.008935376062944743,,,,,,,,,0.006402384252515612,0.008104299767671864,,0.006484008863826465,0.005697208114028895,,0.010529713182086444,0.005010546248428681,,,,,0.006862154758517974,,0.008765329029312464,,,0.0065198558123867245,,,0.006810296218342072,,,,,,,,0.006758809873389775,0.006472363276469854,0.008228389692351668,0.010124721250836901,,0.009978100406996192,0.008558388968285577,0.006826409216690012,0.006664390058978474,,0.008925963002103705,0.008212599812887519,0.00610548036888191,0.01201373799852373,0.010796044901916773,0.009623861088514964,0.009555865325301024,0.009217283831893616,0.008661978941789666,0.008100500078019131,0.007993935832312872,0.007796037922290287,0.007276495930003727,0.004149124187919421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-31,0.005390982016168278,,,,,,,,,,,0.007802083997825841,,,0.0031975470255093986,,,,0.01471185482666832,,,,,,,,,,,,,0.011329591899505359,,,,,,,,,,0.0024247582858860535,0.007292263400054027,,,,,,,0.01054885216156247,,,,,,0.007586380376829479,,,,,,,,0.00824063026685309,,,,,0.00813572417452588,,,,,,,,,,,,,,,,,0.0077946276815194886,,,,,,0.008625531326731944,0.005222480066466077,,,0.00576001684978916,,,,,,0.007023701409191208,,,0.007235304646350747,,,0.013157504594413977,,,,,,,,,,,,,,,,,,0.00882375761410509,0.013019863645403345,,,0.007608394046507412,,,0.004913466322998292,,,,,0.010851694131813167,,0.013152947007853938,,,0.00786596543718074,,0.011529037958337308,0.01009942476056594,,,,,,,,0.006846890932231,,0.01935360734099712,0.006472229210757452,0.01174683158142382,0.013749171083554466,0.01039882174059974,0.00824218353922871,0.012388085139544775,,0.010069710411446902,0.00810380082515136,0.008389339160930567,,0.013702395738749106,0.012926291627131029,0.012864870834844416,,0.020512232756351938,0.0068137883242385365,,0.01716112305463099,,0.006415058092980972,0.024635532402818613,0.020322625499289766,0.018953792141051362,0.016130779424368913,0.012894013949405182,0.009641720484732826,0.00941979381128933,0.007344868152415272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-28,0.0026310999215588436,,,,,,,,,,,0.009679426680588857,,,0.016188932850148458,,,,0.029285348648554754,,0.015311361948464062,,,,,,,,,,,0.0214389171234353,,,,,,,,,,0.009414387505659035,,,,,,,,0.021228906135496984,0.02525663317814996,,,,,0.022673314177756868,,,,,,,,0.015027025933398191,,,,,0.008085168991213035,,,,,,,,,,,,,,,,,0.012331551468411778,,,,,,0.019987681976855416,0.006999221096171359,,,,,,,,,0.007130076939921297,,,0.012539199062861255,,,0.021614492519334696,,,,,,,,,,,,,,,,,,0.013588707107673438,0.023095938687920745,,,0.014072047216296424,,0.009970911089256901,0.008589634244898144,,,,,0.02066958302187152,,0.011682787400194006,,,0.009416238558433097,,,,,,,,,0.02739134535679891,,0.020171538868891867,,0.020564044457071613,,0.020491402258247023,0.025356759830672506,,0.007237899666284839,0.013416374203823375,0.0192545336511663,0.027414162601299273,,0.01972444765000805,,,0.018776292715204326,0.009218398617154662,,0.02179899219269965,0.026431084001043503,,0.019949818604823328,0.01621023377624499,0.01253134906650176,0.01993245607111884,,0.011421484784487563,,0.016605394140252458,0.019043002023078053,0.024503050446336553,0.01602707292191655,0.025152657007245068,0.019574038830996385,0.019385267135250822,0.01248780720475642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-29,0.006947097328820746,,,,,,,,,,,0.01186965617850271,,,0.01065510187511057,,,,0.027376189961562006,,0.017714941282695747,,,,,,,,0.010413987387270857,,,0.022775081419272453,,,,,,,,,,0.0054926059114177245,,,,,,,,0.01692771806327952,,,,,,,,,,,,,,0.01906519219761172,,,,,0.011749713324130209,,,,,,,,,0.02311724223117682,,,,,,,,0.009113384078784271,,,,,,0.021814219399305782,0.006816489684409702,,,0.015879866023991277,,0.014405955612213849,,,,0.0077181404170677745,,,0.005944318577942632,,,,,,,,,,,,,,,,,,,,,,0.0197723588633784,,,0.01158492071703562,,,0.007418510483673676,,,,,0.012533912707593348,,0.019614261975563162,,,0.011421116127705641,,,0.023430007823692475,,,,,,,,,,0.02557627970751,0.024195601521995257,0.03334287401912823,0.0395688110744976,,0.0242994648778344,0.026807406158083462,,0.029447615305075028,,0.014504390351616584,0.01004813072903976,,0.026190919348402297,0.020420352641767607,,0.020382904603793137,0.021103753599938886,,0.019706441331245793,0.02209261406277586,0.012227427955705989,0.018035213625186713,,0.018382926586793916,,0.02558869115252861,0.02100460042364936,0.0226458356391968,,,0.01903009416338594,,0.015150127237266857,0.03674070802894744,0.03245149267551091,0.025694706171935307,0.023788627353979682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
