date,NAV
1995-01-03,1.0
1995-01-04,1.0
1995-01-05,1.0
1995-01-06,1.0
1995-01-09,1.0
1995-01-10,1.0
1995-01-11,1.0
1995-01-12,1.0
1995-01-13,1.0
1995-01-16,1.0
1995-01-17,1.0
1995-01-18,1.0
1995-01-19,1.0
1995-01-20,1.0
1995-01-23,1.0
1995-01-24,1.0
1995-01-25,1.0
1995-01-26,1.0
1995-01-27,1.0
1995-01-30,1.0
1995-01-31,1.0
1995-02-01,1.0
1995-02-02,1.0
1995-02-03,1.0
1995-02-06,1.0
1995-02-07,1.0
1995-02-08,1.0
1995-02-09,1.0
1995-02-10,1.0
1995-02-13,1.0
1995-02-14,1.0
1995-02-15,1.0
1995-02-16,1.0
1995-02-17,1.0
1995-02-21,1.0
1995-02-22,1.0
1995-02-23,1.0
1995-02-24,1.0
1995-02-27,1.0
1995-02-28,1.0
1995-03-01,1.0
1995-03-02,1.0
1995-03-03,1.0
1995-03-06,1.0
1995-03-07,1.0
1995-03-08,1.0
1995-03-09,1.0
1995-03-10,1.0
1995-03-13,1.0
1995-03-14,1.0
1995-03-15,1.0
1995-03-16,1.0
1995-03-17,1.0
1995-03-20,1.0
1995-03-21,1.0
1995-03-22,1.0
1995-03-23,1.0
1995-03-24,1.0
1995-03-27,1.0
1995-03-28,1.0
1995-03-29,1.0
1995-03-30,1.0
1995-03-31,1.0
1995-04-03,1.0
1995-04-04,1.0
1995-04-05,1.0
1995-04-06,1.0
1995-04-07,1.0
1995-04-10,1.0
1995-04-11,1.0
1995-04-12,1.0
1995-04-13,1.0
1995-04-17,1.0
1995-04-18,1.0
1995-04-19,1.0
1995-04-20,1.0
1995-04-21,1.0
1995-04-24,1.0
1995-04-25,1.0
1995-04-26,1.0
1995-04-27,1.0
1995-04-28,1.0
1995-05-01,1.0
1995-05-02,1.0
1995-05-03,1.0
1995-05-04,1.0
1995-05-05,1.0
1995-05-08,1.0
1995-05-09,1.0
1995-05-10,1.0
1995-05-11,1.0
1995-05-12,1.0
1995-05-15,1.0
1995-05-16,1.0
1995-05-17,1.0
1995-05-18,1.0
1995-05-19,1.0
1995-05-22,1.0
1995-05-23,1.0
1995-05-24,1.0
1995-05-25,1.0
1995-05-26,1.0
1995-05-30,1.0
1995-05-31,1.0
1995-06-01,1.0
1995-06-02,1.0
1995-06-05,1.0
1995-06-06,1.0
1995-06-07,1.0
1995-06-08,1.0
1995-06-09,1.0
1995-06-12,1.0
1995-06-13,1.0
1995-06-14,1.0
1995-06-15,1.0
1995-06-16,1.0
1995-06-19,1.0
1995-06-20,1.0
1995-06-21,1.0
1995-06-22,1.0
1995-06-23,1.0
1995-06-26,1.0
1995-06-27,1.0
1995-06-28,1.0
1995-06-29,1.0
1995-06-30,1.0
1995-07-03,1.0
1995-07-05,1.0
1995-07-06,1.0
1995-07-07,1.0
1995-07-10,1.0
1995-07-11,1.0
1995-07-12,1.0
1995-07-13,1.0
1995-07-14,1.0
1995-07-17,1.0
1995-07-18,1.0
1995-07-19,1.0
1995-07-20,1.0
1995-07-21,1.0
1995-07-24,1.0
1995-07-25,1.0
1995-07-26,1.0
1995-07-27,1.0
1995-07-28,1.0
1995-07-31,1.0
1995-08-01,1.0
1995-08-02,1.0
1995-08-03,1.0
1995-08-04,1.0
1995-08-07,1.0
1995-08-08,1.0
1995-08-09,1.0
1995-08-10,1.0
1995-08-11,1.0
1995-08-14,1.0
1995-08-15,1.0
1995-08-16,1.0
1995-08-17,1.0
1995-08-18,1.0
1995-08-21,1.0
1995-08-22,1.0
1995-08-23,1.0
1995-08-24,1.0
1995-08-25,1.0
1995-08-28,1.0
1995-08-29,1.0
1995-08-30,1.0
1995-08-31,1.0
1995-09-01,1.0
1995-09-05,1.0
1995-09-06,1.0
1995-09-07,1.0
1995-09-08,1.0
1995-09-11,1.0
1995-09-12,1.0
1995-09-13,1.0
1995-09-14,1.0
1995-09-15,1.0
1995-09-18,1.0
1995-09-19,1.0
1995-09-20,1.0
1995-09-21,1.0
1995-09-22,1.0
1995-09-25,1.0
1995-09-26,1.0
1995-09-27,1.0
1995-09-28,1.0
1995-09-29,1.0
1995-10-02,1.0
1995-10-03,1.0
1995-10-04,1.0
1995-10-05,1.0
1995-10-06,1.0
1995-10-09,1.0
1995-10-10,1.0
1995-10-11,1.0
1995-10-12,1.0
1995-10-13,1.0
1995-10-16,1.0
1995-10-17,1.0
1995-10-18,1.0
1995-10-19,1.0
1995-10-20,1.0
1995-10-23,1.0
1995-10-24,1.0
1995-10-25,1.0
1995-10-26,1.0
1995-10-27,1.0
1995-10-30,1.0
1995-10-31,1.0
1995-11-01,1.0
1995-11-02,1.0
1995-11-03,1.0
1995-11-06,1.0
1995-11-07,1.0
1995-11-08,1.0
1995-11-09,1.0
1995-11-10,1.0
1995-11-13,1.0
1995-11-14,1.0
1995-11-15,1.0
1995-11-16,1.0
1995-11-17,1.0
1995-11-20,1.0
1995-11-21,1.0
1995-11-22,1.0
1995-11-24,1.0
1995-11-27,1.0
1995-11-28,1.0
1995-11-29,1.0
1995-11-30,1.0
1995-12-01,1.0
1995-12-04,1.0
1995-12-05,1.0
1995-12-06,1.0
1995-12-07,1.0
1995-12-08,1.0
1995-12-11,1.0
1995-12-12,1.0
1995-12-13,1.0
1995-12-14,1.0
1995-12-15,1.0
1995-12-18,1.0
1995-12-19,1.0
1995-12-20,1.0
1995-12-21,1.0
1995-12-22,1.0
1995-12-26,1.0
1995-12-27,1.0
1995-12-28,1.0
1995-12-29,1.0
1996-01-02,1.0
1996-01-03,1.0
1996-01-04,1.0
1996-01-05,1.0
1996-01-08,1.0
1996-01-09,1.0
1996-01-10,1.0
1996-01-11,1.0
1996-01-12,1.0
1996-01-15,1.0
1996-01-16,1.0
1996-01-17,1.0
1996-01-18,1.0
1996-01-19,1.0
1996-01-22,1.0
1996-01-23,1.0
1996-01-24,1.0
1996-01-25,1.0
1996-01-26,1.0
1996-01-29,1.0
1996-01-30,1.0
1996-01-31,1.0
1996-02-01,1.0025738300091847
1996-02-02,0.9978015801908733
1996-02-05,1.00410897123892
1996-02-06,1.0073461527600538
1996-02-07,1.0174340592525493
1996-02-08,1.0215976230280543
1996-02-09,1.0259322517896907
1996-02-12,1.0298426054947076
1996-02-13,1.0308851131496075
1996-02-14,1.0292953080142313
