,DTE US Equity,PEP US Equity,PNW US Equity,PSA US Equity,NEE US Equity,K US Equity,ATO US Equity,NOC US Equity,AVB US Equity,WMB US Equity,KMB US Equity,RTX US Equity,KO US Equity,L US Equity,O US Equity,NVR US Equity,MO US Equity,TPL US Equity,NKE US Equity,BA US Equity,STE US Equity,NTRS US Equity,AVY US Equity,ROST US Equity,CB US Equity,KR US Equity,ALB US Equity,ALL US Equity,HST US Equity,C US Equity,PHM US Equity,AES US Equity,OMC US Equity,BK US Equity,LIN US Equity,EFX US Equity,WM US Equity,DVN US Equity,DE US Equity,DHI US Equity,MOS US Equity,PAYX US Equity,CPRT US Equity,TROW US Equity,CSCO US Equity,IDXX US Equity,HOLX US Equity,GILD US Equity,BSX US Equity,FAST US Equity,JKHY US Equity,CDNS US Equity,AMAT US Equity,REGN US Equity,IT US Equity,EA US Equity,BIIB US Equity,INTU US Equity,ADBE US Equity,JBL US Equity,AEP US Equity,ETR US Equity,ESS US Equity,TXT US Equity,CAG US Equity,T US Equity,JPM US Equity,DOV US Equity,HSY US Equity,HAL US Equity,LEN US Equity,SCHW US Equity,NEM US Equity,INCY US Equity,QCOM US Equity,TAP US Equity,ZBRA US Equity,USB US Equity,LMT US Equity,CLX US Equity,ROP US Equity,SWK US Equity,UHS US Equity,LUV US Equity,TJX US Equity,HPQ US Equity,VRTX US Equity,PTC US Equity,DLTR US Equity,FITB US Equity,HON US Equity,GE US Equity,PPL US Equity,J US Equity,BAC US Equity,STT US Equity,IPG US Equity,LLY US Equity,ADI US Equity,SBUX US Equity,CMS US Equity,AON US Equity,GD US Equity,CTAS US Equity,OKE US Equity,AZO US Equity,TGT US Equity,FICO US Equity,COST US Equity,TECH US Equity,EME US Equity,DUK US Equity,JCI US Equity,BKR US Equity,COF US Equity,COO US Equity,MGM US Equity,REG US Equity,CPB US Equity,SHW US Equity,ORCL US Equity,CTRA US Equity,EOG US Equity,COR US Equity,MNST US Equity,EQR US Equity,WELL US Equity,PFE US Equity,JNJ US Equity,FCX US Equity,WDC US Equity,MTB US Equity,EG US Equity,SLB US Equity,PPG US Equity,WFC US Equity,CVX US Equity,FI US Equity,CAH US Equity,GLW US Equity,DVA US Equity,POOL US Equity,ERIE US Equity,PGR US Equity,ECL US Equity,EIX US Equity,AFL US Equity,MSFT US Equity,WAT US Equity,EXPD US Equity,PCAR US Equity,INTC US Equity,HSIC US Equity,CVS US Equity,DIS US Equity,ITW US Equity,IBM US Equity,WSM US Equity,KEY US Equity,WAB US Equity,MMM US Equity,APD US Equity,UNP US Equity,DHR US Equity,EL US Equity,MHK US Equity,NTAP US Equity,RMD US Equity,SNPS US Equity,MCHP US Equity,NI US Equity,CMI US Equity,BMY US Equity,IRM US Equity,TSN US Equity,AMD US Equity,KLAC US Equity,AOS US Equity,CNP US Equity,VZ US Equity,HIG US Equity,FDX US Equity,MRK US Equity,BEN US Equity,TER US Equity,MLM US Equity,HUBB US Equity,CI US Equity,MAS US Equity,ABT US Equity,XOM US Equity,CCL US Equity,PG US Equity,MCK US Equity,CAT US Equity,CL US Equity,RJF US Equity,EVRG US Equity,LHX US Equity,SYK US Equity,PCG US Equity,IEX US Equity,VMC US Equity,IVZ US Equity,MS US Equity,MDT US Equity,PH US Equity,VTR US Equity,CMCSA US Equity,MU US Equity,ED US Equity,WY US Equity,AXP US Equity,GL US Equity,STZ US Equity,TXN US Equity,GEN US Equity,ODFL US Equity,ETN US Equity,SJM US Equity,LRCX US Equity,HBAN US Equity,RCL US Equity,BALL US Equity,TT US Equity,SWKS US Equity,TYL US Equity,HD US Equity,BBY US Equity,TRMB US Equity,WMT US Equity,TFC US Equity,ADP US Equity,CINF US Equity,BRO US Equity,DRI US Equity,JBHT US Equity,ES US Equity,PEG US Equity,SPG US Equity,FDS US Equity,VTRS US Equity,APH US Equity,KIM US Equity,ARE US Equity,AAPL US Equity,AMZN US Equity,BXP US Equity,F US Equity,GWW US Equity,LOW US Equity,BRK/B US Equity,BDX US Equity,AIG US Equity,SPGI US Equity,EXC US Equity,AMGN US Equity,EMR US Equity,AJG US Equity,PLD US Equity,ORLY US Equity,TSCO US Equity,MTD US Equity,URI US Equity,YUM US Equity,PWR US Equity,TTWO US Equity,VRSN US Equity,MMC US Equity,MCD US Equity,NDSN US Equity,CHD US Equity,AMT US Equity,FRT US Equity,DD US Equity,D US Equity,ROK US Equity,CHRW US Equity,APA US Equity,CTSH US Equity,WST US Equity,EQT US Equity,MCO US Equity,CSGP US Equity,STLD US Equity,SYY US Equity,LH US Equity,UNH US Equity,CCI US Equity,EBAY US Equity,RVTY US Equity,HRL US Equity,DGX US Equity,CPT US Equity,NUE US Equity,LNT US Equity,UDR US Equity,OXY US Equity,DECK US Equity,IP US Equity,SO US Equity,SRE US Equity,IFF US Equity,VLO US Equity,NVDA US Equity,AEE US Equity,EMN US Equity,GS US Equity,MAR US Equity,SBAC US Equity,RSG US Equity,BLK US Equity,KMX US Equity,TDY US Equity,WRB US Equity,ROL US Equity
1996-01-31,0.042904513584284584,0.03933631903780048,0.03916667020129958,0.03470125348627668,0.03262765600551206,0.028802127779501783,0.028098151471871127,0.02684225504005913,0.0253021013250407,0.02491509723320917,0.024695535774593214,0.024628941770873117,0.023199214651087766,0.023053021552761156,0.022276675507291066,0.020855058190266132,0.02065640006046533,0.020598356538691937,0.020093350180070454,0.019554498459054555,0.018731032655147747,0.018657989559904248,0.018631813201662437,0.01791012690244329,0.017887787954549067,0.017527727070299565,0.017199477332091567,0.01634224107830846,0.01611043714383382,0.0157465016232634,0.015474756534478244,0.01490105050968997,0.014766305989436337,0.014529422073525282,0.013932430086679687,0.013893348605050466,0.013241703631835912,0.012266126619873273,0.011995027273369391,0.011785662150979846,0.010769653174253354,0.00997537922197633,0.009552134553653795,0.00915063783688522,0.008962298724156633,0.008953039368685621,0.00791202848401443,0.007729504473959018,0.007474049778395975,0.006971805487096103,0.006860758276391161,0.006806268278672288,0.00675635031201112,0.006573381453581335,0.006396935167706232,0.0062704471709930185,0.00616226269504848,0.005250428301334457,0.004224023773966023,0.003410447620787306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-29,0.02549927938758271,0.01493694450942791,0.024170269773595758,0.024317058523430735,0.029722912629083303,,,,0.02309963229388521,0.023971023821045028,0.02101453820910633,0.019352541730038187,,0.02137293485166574,0.017579949509028955,0.01741057716106617,0.027546593145450264,0.004908111155630485,0.022438525111177325,0.021110196219614775,,,0.022255780812134873,0.011266730424660107,0.014261965607027183,,,0.016256995052619856,,0.01906801037362871,,,0.013738118190908546,,0.01498848987073606,,0.017814016889562283,,0.012926175091779447,0.01477643460103527,0.023849482169783373,0.01348020659908759,0.01362060631607114,0.01640968129906921,0.013818468958204384,0.007574620330223356,0.0161232831274173,0.010383785313613189,0.008872149162056761,0.009357961532020571,0.02022915548108839,0.015065801132499279,,0.009472565829197024,0.015241881368999495,,0.009014582824860116,0.0073696347796197124,,0.0057754496549384405,0.036027328822737535,0.027464667849648083,0.027059972422159878,0.01973274063707262,0.019168717510890835,0.019020915706167082,0.018848252102442623,0.017565829392769534,0.017234882973303698,0.015464219038695538,0.012928955252556702,0.012409472642054692,0.012000580018833577,0.010465041163184228,0.00987157349989691,0.006680403590066813,0.006593326553849131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-29,0.029642023795962563,0.020139097003516584,0.020709800387019608,0.021364769717112663,,,,,0.01999891839834383,0.020901052385824966,0.01979076289234247,0.018168291409053527,,0.01547510983579954,0.01753106982738041,0.012305229419402437,0.010872206761073052,0.027370929680231984,0.015715935916873577,0.013985079476347957,,,0.020344447217374613,0.014730966284808564,0.02397634615309706,,0.01056297533999485,,,0.016819414867623294,,0.014514662295641767,0.022333411693957993,0.021081907359272786,0.015733009500627913,,0.017537630331153017,,0.01831756258548256,0.009351282386798939,0.012042441711216148,0.012643739454645761,0.015733903311106554,,0.010157914246014445,0.007698890406903635,0.0086968616851077,0.004737615540062724,,0.01714317511479065,0.008696770567406392,0.01304624485771462,,,0.008474682751263986,,0.004379931340617021,0.00699151223713799,,,0.027163090519825815,0.02439145764249986,0.018229432471662282,,,0.020032194447400595,0.01890744858702111,,0.019634588967263774,0.015827789238151677,,0.011918167355216646,,0.008081281401504933,,,,0.02612381077316495,0.025866726501800098,0.025114869111609737,0.02434264536891631,0.024029635823245486,0.023778740243994113,0.012819743098007057,0.01189737157867067,0.011768209372585544,0.01099714389675782,0.010471591366383261,0.008886486088212114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-03-31,0.03388547442626516,,,,,,,0.007477715424764985,,0.020196699494134027,,,,,0.025726337654664023,0.01154279987883805,,0.02755992609524193,,,0.011650220203022097,0.016410869221652472,,,,0.016575362406169275,0.02107651553210851,,,,,0.01575475399965678,0.015476903695338965,,,,,,,0.014982565470799833,,0.011587941037115707,,0.014260443644798698,0.010393684613758303,,,,,,,0.015233619574380112,,,0.010598624900345051,,0.01039283832651676,0.007926021209225366,,0.004834064997743086,,,,,,,,,,,0.011338364987715595,0.0130878460292087,,0.010167304115898905,,,,,,,,,,0.011490916035437176,,,,,,,,,,,,,,,,,,,,0.010651818352831717,,,0.0234853559186574,,0.01178432314576322,,,,0.01815329105952522,,0.010021417047288815,0.010707178114633122,,,,,,,,,0.005954707128245803,,0.02269184811186228,0.015900472437267447,,,,,,0.009816386850576227,,,,,,,0.010066903030267993,,,0.016196678801278026,0.02281230343757787,,,,0.014481348899212461,,0.016165668661084334,,,,,,,0.010040470089864887,,0.015091120676469488,,,,0.02167124005820922,,0.010079248829424622,0.006701438016157135,0.008287736239820103,,,,,,0.00874670366590847,,,,,,,,,,0.016587153304936878,,0.011219749504980983,,,,,,,,,,,0.014935730399770815,0.03322775009838976,,,,,0.01808402969842547,,0.016682435595710164,,0.01722686575335295,,0.02046417954261186,,0.02510335226202531,0.013519121637875386,,,0.02023824162440064,,,,,,,,,,0.023784087693580994,0.005699296191162304,0.007099398625297731,,0.008301491530467739,,0.02415588475858702,,,0.019937477552124667,0.01074979053892248,,0.009942333991906799,0.013906158148744742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-05-29,0.019458089654782806,,0.018391847315266836,,,,,,,0.013765482972811978,,,,,,0.019495218909703425,,0.016030901061573215,,,0.014513274153581014,,0.017330917314263575,,0.012874086805999524,,,,,0.012542723577080367,,0.011007823858767252,0.018891615770686734,,,,,,,,,0.01143453791089894,,,0.011491619871441679,0.006692285231213026,,,,,,0.010368656579841345,,,,,,0.006080841164104317,,,,,,,,,,,,0.013896720738765227,0.006984793434594217,,,,,,,,,,,,,0.01108468647402577,,,,,0.012620599644626246,,,,,,,,,,,,,,,0.010263638563148278,,,0.010954243477163774,,0.013946178004363957,,0.013129745373321266,,0.010451894400468925,,0.015212843519900156,0.011853317286677073,,,,,,,,,0.0031002596211187005,,0.018021399100696795,0.007707724222161896,,,,,,,,,,,0.011327678813825903,,,,,0.0172338248982389,0.017152020293399104,,,,0.013813616505182091,0.009264613946703835,,,,,,,,,,0.015708072811962896,,,,,,0.007474273416125389,0.00814616993906603,0.014565696829392917,,,,,,0.007626900077989304,,,,,,,,,,,,0.011059165850157652,,,0.014877791078208536,,,,,0.007726894043006916,,,0.008721234558874408,,,,,,0.017411443573271658,0.010811600631158344,0.011502573462478575,,,,0.007922256912164746,,0.01669078864847986,,,,0.008966048056260155,,,0.00720678330687643,,,,,0.01666276575793029,,,0.0057517995057391426,0.004072438383649319,,0.007473830557204278,,0.014312872630230379,0.022410907240173313,,,0.011607987951079958,,0.011896009199586628,0.010896151110106903,,,0.015116212715957532,0.0072895191619128,0.019022114493420235,0.016544528765513294,0.01463113778436979,0.00813383124411614,0.006432872295120457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-30,0.02523706761045509,,0.022017365034728568,,,,,,,0.009678480089051762,,,,,,0.011006951297703401,,,,,0.01128022330336425,,0.012267024414950648,,,,,,,0.01245636977482876,,,0.017616898963791948,,,,,,,,,0.00770745321038571,,,0.014396333181899649,0.0070723596469931364,,,,,,0.007613151323783918,,,,,,0.006267263964706683,,,,,,,,,,,,,0.006514669649044381,,,,,0.006970873905913881,,,,,,,,0.011688859698734282,,,,,0.005501712542858343,,,,,,,,,,,,,,,,0.012361420471394885,,0.010800725730701932,,0.015706310903114574,,,,0.011150400999845862,,0.012528748790749583,0.011081347915899263,,,,,,,,,0.00661213626299629,,,0.010979065601976533,,,,0.03591899697637318,,0.0073565948596650286,,,,,0.013942200378194219,,,,,0.012826249798870535,,,,,0.013984028069531258,0.011261176439141188,,,,,,,,,,0.018101268564174086,,,,,,,0.007120125547829938,0.011840365880078738,,,,,,0.007177734403405207,,,,0.01724219639791387,0.015991504097912855,,,,,,,0.011772309268475712,,,0.015309700450436729,,,,,0.011021458781492023,,,0.00939712492035141,,,,,,0.015654537880114283,0.012218233143093327,0.008912465252758517,,,,0.007713344158627428,,0.02064781631575216,,,,,,,,,,,,,0.013818099443350976,,0.005403694013064243,0.008365238954385333,,0.0059063553131702175,,0.011583278443010856,0.019022697267671605,0.012302195975607333,0.007421590416237657,0.028266593141954288,,0.007348741277808375,0.014595691734819146,,,,0.01136078054101374,0.008902454803204054,0.019952554216963073,0.014243510269199712,0.012856969450893653,0.0033821739310081695,0.016126604708701094,0.012873342705158216,0.012125078216768288,0.011111751278737024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-08-31,0.007632119913324625,,,,,,,,,0.0027198064891372125,,,,,,,,,,,0.0016132565766359744,,0.004448811780978449,,,,,,,0.0029455883649196495,,,,,,0.003092775974254628,0.003952061682369244,,,,,0.0031075128212030897,,,0.0025642910084365473,,,,,,0.002984523601570357,,,,,0.002167263780341528,,0.0014803063409523994,,,,,,,,,,,,,0.0015580336908976508,,,,0.0038022486888354174,,,0.004167579267323376,,0.003959955367352008,,,,0.003039689875230032,,,,,0.0023477104456965494,0.0040096208355357215,,0.004089170020270459,,,,,,,,,,,,0.0018956593213288189,0.005037380852285881,,0.002091792586301975,,0.002509915731702969,,0.003189386126562978,,0.0032821033705243093,,0.0022476672416496383,,,,,,,,,0.0031053599762644714,0.0016070914266322926,,,0.003537913997786332,,,,,,,,,0.005587404445895009,,,,,,,,0.007675477674027073,,,0.0034227176187937775,0.003366530665148601,,,,,,,,0.003880819624732206,,,,,,,0.004040847394975443,,,0.0023577780305337522,0.003218724760394553,,,,,0.003449073244296634,0.0023173251316853088,,,,,0.005335405457447207,,,,,,,0.004706230801174589,,,0.0027172948623097365,,0.0060191896124559855,,,0.00378407653938672,,,,,,,,,,0.0021621568812636638,0.0023778795220294074,,,,0.0025956231302020007,,0.006643489740935338,,,,,,,,,,,,0.0017517470065522946,0.0031236509792659816,,,0.002095403996894835,,0.0022628509873439907,,0.0027660205189849554,,0.004545274533273977,,0.005810116287600693,,0.001695075928186311,0.005936510609531608,0.007279739979101641,,,,,0.004565829297010435,0.0074140857645232415,0.0022179324241912686,0.0014992845860158394,0.004798153656655129,0.0032823875149759277,,0.0023055682673157945,0.004264109134026433,0.003098171884288907,0.0028380804339635793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-09-30,0.010956579365447871,,,,,,,,,0.003311613366417813,,,,,,,,,,,,,0.002762741771067824,,,0.0034508925890847516,,,,,0.004498048410100191,,0.00298667836921627,,,0.0029261440518309756,0.0038265263243777983,,,,,0.0025103376337622997,0.0022254528145816276,,0.0031830300139910985,,,,0.0031791547046099524,,0.0028737828370431614,,,,,,,0.001660945320470018,,,,,,,,,,,0.00407243516417827,,,,,,,,0.0025110397682962925,0.004111880915245338,,0.0028397375996280596,,,,0.0024705299436435127,0.0017217688337409654,,,,,0.0028507905022925545,,0.003245459336879094,,,,,,,,,,0.003840265166313954,0.0032588035927838205,0.004720710957314213,0.0033087866635454484,,,,,,,,0.004216394345267255,,0.002007300571328953,,,,,,,,,,0.003192506297628999,,,0.003252426625518919,,,,,,,,,0.0042482579319815745,0.0031653343695987384,0.004202134721650195,,,,,,0.005878966512867574,,,0.004064939329858934,,,,,,0.003209245120773393,,,0.00440586027298017,,,,,,,0.002383524375768193,0.0027631275565156614,,0.0023077716500331507,0.002223372419286836,,,,,,0.002718251151099726,,,,,,,,,,,,0.004326659269608572,,,,,0.004525918968683732,,,0.004160230163548348,,,,,,,,,0.005495773387555377,,,,,,0.0030256153528323533,,0.008785172360256843,,,,,,,,,,,,,,,,0.0013399663053790365,,0.002452927187528931,,0.0030290401876740497,,0.00410630369964918,0.0017200834018682497,0.005413013156216096,,0.0012540375682480664,0.005520085252908372,0.00886590470545958,0.004130210177803115,,,,0.007131470554388344,0.003683051883678275,0.003407231216619313,0.001341618649139794,,0.0028401193171103474,,0.00230485731037537,0.004049051217100305,0.003075344213006452,,0.005261499429060275,0.004835052371199998,0.0033003544880424135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-30,0.008336726625420034,,,,,,,,,0.006930573704043305,,,,,0.012856543342877795,0.003392776393712077,0.01233379978613441,,,,,,0.00569059323527337,,,0.004179516559852483,,,,,,,,,,,0.0032405534200180657,,,,,0.004869086912642699,0.0040254549141986035,,0.003217560488440416,0.0037654937398527424,,,,,0.0030848659261065708,,,,,,,0.003297022463353059,,,,,,,,0.005355392648547519,,,0.007737677893213316,,,,,,,0.00523764610637849,,0.004286913399443644,,,,,,0.0034078691552554483,,,,,,0.006814708171108054,,0.007420453518067343,,0.006650004710502549,,,,,,,,,0.007993005847343335,0.005485118826796684,0.011760892558956373,,,,,,,,0.004569598599245273,,0.0022059862121981957,,,,,,,,,,0.0022419202577335737,,0.005607827332532199,,,,,,,,,,0.008841151682810699,0.0037047966243060437,,,,,,,0.005576887181933441,,,0.005015123080238151,0.004897720162883426,,,0.007294374005322542,,0.00609592460059675,,,0.008414977989179326,,,,,,,,,,0.0021678718100238267,0.004181356532519411,,,,,,0.0033107108411037913,,,,,0.007173385158572479,,0.004117630214429589,,0.010456917613706835,,,0.006379037644123564,,,,0.008743920590798107,0.007708708964480896,,,0.003503945296629423,,,,,,,,,0.006659520019651519,,,,,,0.004890384817608609,,0.0065828837998340144,,,,,,,,,,,,,,,,0.0022410487467501693,,0.003142218268119657,,0.005487004926227307,,0.00783128329062023,,0.007591049340120859,0.009033243606418358,,,0.008276395496528465,,,,,0.007589585357690285,,0.0033915225557048104,0.003322236630989674,,0.004958143781990151,,0.0036560846028951535,0.008180532469739496,0.004916638451189735,,0.00806834769248434,0.009114506186026553,0.006524481976611713,0.00950772039231085,0.005652827631777782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-30,0.01791281570699514,,,0.01391991452755315,,,,,,0.008422959898194742,,0.011051514975079415,,,0.02123064237748719,,,0.016155968878697788,,,,,,,,0.012586293725193334,,,,,,,0.01031237347045329,,,,0.0070767272985456375,,,,,0.010785075364009532,0.005286887588737429,,0.0074421408997026916,0.0060752703683729006,,,,,0.006976163270766099,,,,,,,0.00392701380481093,,,,,,0.01391002910510836,,,,,,,,,,,,0.014700565299805133,,0.010685654840385396,,0.013434904052827903,,,,0.005935310040145246,,,,,0.0046403957131353635,0.009371353657194862,,,,0.01244280813083459,,,,,,,,,0.010283237078906299,0.009499905045641455,,,,,,,,,0.011156082957123652,,0.004749365912573862,,,,,,,,,,0.004594546476800089,,,0.01147274458806927,,,,,,,,,0.008854399476537197,0.009204333417242696,,,,,,0.016549457438923096,0.01495829407037387,,0.007203757087056112,0.00907048548452796,0.007525889123249896,,,,,,,,0.013658269419691005,,,,,,,,,0.0067437911167384235,0.005411880187084036,0.004548528395415881,,,,,,0.010614997047921645,,,,,0.012727813588230566,,,,0.014357767035384559,,,0.01739114602382249,,,,0.009271708782013815,0.01225520225062683,,,,,,,,,,,,0.015148406871113096,,,,,,0.007971330773887992,0.0041415030711335205,0.020030439917047334,,,,,,,,,,,,,0.007817940854594762,,,0.005201924745909961,,0.004784198313403044,,0.012679002835314005,,0.016195239474913636,,0.015308148793140113,,,,0.01775853903525871,,,0.008237384505017226,,0.020017449397770646,,0.006346758815893248,0.0023640828559748518,,0.012919419087725235,,,0.012789161797173921,0.008417355233095515,,0.016075729153378016,0.020021087586818507,0.010947767397720456,,,0.017461298997820597,0.005771613222869872,0.005207832265034838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
