index,SPX Index_PX_OPEN,SPX Index_PX_HIGH,SPX Index_PX_LOW,SPX Index_PX_LAST,SPX Index_PX_VOLUME,return,momentum_5d,momentum_21d,ma_21d,ma_50d,volatility_21d,rsi_14
9/30/1975,83.87,83.87,83.87,83.87,,,,,,,,
10/1/1975,82.93,82.93,82.93,82.93,,-0.011207822,,,,,,
10/2/1975,83.82,83.82,83.82,83.82,,0.010731943,,,,,,
10/3/1975,85.95,85.95,85.95,85.95,,0.025411596,,,,,,
10/6/1975,86.88,86.88,86.88,86.88,,0.010820244,,,,,,
10/7/1975,86.77,86.77,86.77,86.77,,-0.001266114,0.034577322,,,,,
10/8/1975,87.94,87.94,87.94,87.94,,0.013483923,0.060412396,,,,,
10/9/1975,88.37,88.37,88.37,88.37,,0.004889698,0.054282987,,,,,
10/10/1975,88.21,88.21,88.21,88.21,,-0.001810569,0.026294357,,,,,
10/13/1975,89.46,89.46,89.46,89.46,,0.014170729,0.029696133,,,,,
10/14/1975,89.28,89.28,89.28,89.28,,-0.002012072,0.028927049,,,,,
10/15/1975,89.23,89.23,89.23,89.23,,-0.000560036,0.014669093,,,,,
10/16/1975,89.37,89.37,89.37,89.37,,0.001568979,0.011316057,,,,,
10/17/1975,88.86,88.86,88.86,88.86,,-0.005706613,0.007368779,,,,,
10/20/1975,89.82,89.82,89.82,89.82,,0.010803511,0.004024145,,,,,80.28445704
10/21/1975,90.56,90.56,90.56,90.56,,0.0082387,0.014336918,,,,,89.81347171
10/22/1975,90.71,90.71,90.71,90.71,,0.00165636,0.01658635,,,,,88.91064508
10/23/1975,91.24,91.24,91.24,91.24,,0.005842796,0.020924248,,,,,86.29076735
10/24/1975,89.83,89.83,89.83,89.83,,-0.015453748,0.010916048,,,,,69.34830395
10/27/1975,89.73,89.73,89.73,89.73,,-0.001113214,-0.001002004,,,,,69.46974781
10/28/1975,90.51,90.51,90.51,90.51,,0.008692745,-0.00055212,,88.25428571,,,67.69713167
10/29/1975,89.39,89.39,89.39,89.39,,-0.012374323,-0.014551869,0.065816144,88.51714286,,0.009860643,56.63481144
10/30/1975,89.31,89.31,89.31,89.31,,-0.000894955,-0.021153003,0.076932353,88.82095238,,0.009357123,57.21687861
10/31/1975,89.04,89.04,89.04,89.04,,-0.003023178,-0.008794389,0.062276306,89.06952381,,0.009312566,47.21902756
11/3/1975,88.09,88.09,88.09,88.09,,-0.010669362,-0.018277053,0.024898197,89.17142857,,0.00822021,42.49852194
11/4/1975,88.51,88.51,88.51,88.51,,0.004767851,-0.022097006,0.01876151,89.24904762,,0.007968442,45.77978177
11/5/1975,89.15,89.15,89.15,89.15,,0.007230821,-0.002684864,0.027428835,89.36238095,,0.008067226,48.96203664
11/6/1975,89.55,89.55,89.55,89.55,,0.00448682,0.002687269,0.018307937,89.43904762,,0.007615191,54.29971822
11/7/1975,89.33,89.33,89.33,89.33,,-0.002456728,0.003256963,0.010863415,89.4847619,,0.007591062,47.08324421
11/10/1975,89.34,89.34,89.34,89.34,,0.000111944,0.014190033,0.012810339,89.53857143,,0.00757284,41.62412192
11/11/1975,89.87,89.87,89.87,89.87,,0.005932393,0.015365495,0.004583054,89.55809524,,0.007030472,44.6297152
11/12/1975,91.19,91.19,91.19,91.19,,0.014687882,0.022882782,0.021393369,89.64904762,,0.007677546,49.95916542
